,Date,Open,High,Low,Close,Adj Close,Volume
0,1998-01-20,8.75,8.75,8.125,8.125,8.125,15100
1,1998-01-21,8.0,8.0,8.0,8.0,8.0,2900
2,1998-01-22,8.0,8.0,8.0,8.0,8.0,900
3,1998-01-23,8.0,8.0,8.0,8.0,8.0,700
4,1998-01-26,8.0,8.0,7.875,7.875,7.875,1800
5,1998-01-27,7.875,7.875,7.75,7.75,7.75,1600
6,1998-01-28,7.625,7.75,7.625,7.75,7.75,2800
7,1998-01-29,7.6875,7.6875,7.6875,7.6875,7.6875,2400
8,1998-01-30,7.6875,7.6875,7.6875,7.6875,7.6875,0
9,1998-02-02,7.6875,7.6875,7.5,7.5,7.5,4400
10,1998-02-03,7.625,7.875,7.625,7.75,7.75,6100
11,1998-02-04,7.75,7.75,7.6875,7.75,7.75,5400
12,1998-02-05,7.75,7.75,7.75,7.75,7.75,2500
13,1998-02-06,7.75,7.75,7.75,7.75,7.75,2800
14,1998-02-09,7.5,7.5,7.5,7.5,7.5,9100
15,1998-02-10,7.5,7.5,7.25,7.25,7.25,4400
16,1998-02-11,7.25,7.25,6.875,7.0,7.0,4200
17,1998-02-12,7.0,7.0,7.0,7.0,7.0,1000
18,1998-02-13,7.0,7.0,7.0,7.0,7.0,600
19,1998-02-17,7.0,7.0,7.0,7.0,7.0,300
20,1998-02-18,7.0,7.0,7.0,7.0,7.0,1300
21,1998-02-19,7.0,7.0,7.0,7.0,7.0,4000
22,1998-02-20,7.0,7.0,7.0,7.0,7.0,300
23,1998-02-23,7.0,7.0,7.0,7.0,7.0,300
24,1998-02-24,7.0,7.0,7.0,7.0,7.0,100
25,1998-02-25,7.0,7.0,7.0,7.0,7.0,300
26,1998-02-26,7.0,7.0,7.0,7.0,7.0,0
27,1998-02-27,7.0,7.0,7.0,7.0,7.0,0
28,1998-03-02,6.875,6.875,6.75,6.75,6.75,1800
29,1998-03-03,6.625,6.625,6.5,6.5,6.5,3200
30,1998-03-04,6.375,6.375,6.25,6.25,6.25,2000
31,1998-03-05,6.25,6.25,5.875,5.875,5.875,3600
32,1998-03-06,5.875,5.875,5.875,5.875,5.875,800
33,1998-03-09,6.0,6.25,6.0,6.1875,6.1875,6000
34,1998-03-10,6.375,6.6875,6.375,6.5625,6.5625,2400
35,1998-03-11,6.4375,6.625,6.25,6.625,6.625,4900
