,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-04-26,12.75,75.0,12.75,28.0,28.0,300
1,2013-04-29,30.0,37.5,30.0,35.0,35.0,500
2,2013-04-30,37.5,37.5,25.0,32.25,32.25,500
3,2013-05-01,26.25,30.0,25.25,30.0,30.0,300
4,2013-05-02,25.0,27.5,22.75,27.5,27.5,300
5,2013-05-03,25.0,28.5,25.0,27.5,27.5,600
6,2013-05-06,28.5,28.5,28.5,28.5,28.5,0
7,2013-05-07,25.25,26.5,25.0,25.0,25.0,900
8,2013-05-08,27.75,27.75,21.25,25.0,25.0,200
9,2013-05-09,17.5,19.25,15.75,16.25,16.25,800
10,2013-05-10,17.75,22.5,16.25,22.5,22.5,200
11,2013-05-13,27.5,27.5,18.75,19.0,19.0,200
12,2013-05-14,17.5,25.0,17.5,23.5,23.5,300
13,2013-05-15,23.5,24.75,21.25,21.5,21.5,300
14,2013-05-16,25.25,26.25,24.25,25.25,25.25,400
15,2013-05-17,25.25,25.25,24.75,24.75,24.75,800
16,2013-05-20,25.0,25.0,20.25,23.75,23.75,1100
17,2013-05-21,22.5,23.75,19.5,20.25,20.25,700
18,2013-05-22,20.5,20.5,18.75,18.75,18.75,200
19,2013-05-23,18.75,18.75,16.25,16.5,16.5,700
20,2013-05-24,15.0,21.5,15.0,21.5,21.5,100
21,2013-05-28,21.5,21.5,21.5,21.5,21.5,0
22,2013-05-29,21.5,21.5,21.5,21.5,21.5,0
23,2013-05-30,16.5,20.0,16.5,20.0,20.0,500
24,2013-05-31,18.75,18.75,17.5,17.5,17.5,200
25,2013-06-03,16.25,16.25,16.25,16.25,16.25,200
26,2013-06-04,16.5,16.5,13.75,16.25,16.25,600
27,2013-06-05,16.25,16.25,16.25,16.25,16.25,0
28,2013-06-06,13.75,15.0,13.75,15.0,15.0,200
29,2013-06-07,15.0,16.0,13.5,16.0,16.0,1100
30,2013-06-10,16.0,16.0,16.0,16.0,16.0,0
31,2013-06-11,13.5,15.0,13.25,15.0,15.0,900
32,2013-06-12,15.0,17.5,14.5,16.75,16.75,1600
33,2013-06-13,16.75,19.0,15.0,15.0,15.0,100
34,2013-06-14,13.75,15.0,13.75,15.0,15.0,0
35,2013-06-17,15.0,15.0,15.0,15.0,15.0,0
36,2013-06-18,16.25,16.25,11.0,11.25,11.25,1000
37,2013-06-19,12.5,12.5,12.5,12.5,12.5,0
38,2013-06-20,12.5,16.75,12.5,13.75,13.75,100
39,2013-06-21,13.0,13.0,12.5,12.5,12.5,0
