,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-09-27,13.75,14.25,13.375,14.0,10.373873710632324,4653200
1,1996-09-30,13.75,14.75,13.75,14.125,10.466497421264648,852400
2,1996-10-01,14.125,14.125,13.625,13.875,10.28125,283100
3,1996-10-02,13.875,13.875,13.25,13.75,10.188626289367676,403200
4,1996-10-03,13.875,14.375,13.375,14.125,10.466497421264648,316200
5,1996-10-04,14.125,14.75,14.0,14.5,10.744369506835938,161500
6,1996-10-07,14.25,16.0,14.25,15.75,11.670608520507812,196900
7,1996-10-08,15.75,16.75,15.5,16.0,11.855855941772461,308200
8,1996-10-09,16.0,16.5,15.25,15.75,11.670608520507812,203200
9,1996-10-10,15.5,15.75,14.75,15.0,11.11486530303955,111900
10,1996-10-11,14.75,15.0,14.5,14.75,10.929616928100586,104900
11,1996-10-14,14.5,15.25,14.5,15.25,11.3001127243042,45800
12,1996-10-15,15.5,15.5,15.0,15.5,11.485360145568848,74400
13,1996-10-16,15.0,15.25,14.5,15.0,11.11486530303955,209200
14,1996-10-17,15.0,15.0,14.75,14.875,11.02224063873291,169900
15,1996-10-18,15.0,15.0,14.75,14.875,11.02224063873291,22300
16,1996-10-21,14.75,15.0,14.75,14.75,10.929616928100586,133700
17,1996-10-22,14.875,15.0,14.75,15.0,11.11486530303955,116400
18,1996-10-23,14.75,15.0,14.75,14.75,10.929616928100586,78400
19,1996-10-24,14.75,15.0,14.0,14.0,10.373873710632324,162300
20,1996-10-25,14.5,14.5,14.0,14.5,10.744369506835938,53900
21,1996-10-28,14.5,14.5,13.25,13.25,9.818130493164062,47200
22,1996-10-29,14.125,14.25,13.75,13.75,10.188626289367676,94100
23,1996-10-30,13.5,14.0,13.25,13.75,10.188626289367676,67400
24,1996-10-31,13.75,14.0,13.0,13.0,9.632883071899414,264400
25,1996-11-01,13.5,13.5,13.0,13.0,9.632883071899414,75000
26,1996-11-04,13.5,13.5,13.0,13.0,9.632883071899414,73500
27,1996-11-05,13.5,13.75,12.75,13.25,9.818130493164062,69200
28,1996-11-06,13.375,14.0,13.375,13.5,10.003378868103027,35400
29,1996-11-07,14.0,14.0,13.25,14.0,10.373873710632324,39300
30,1996-11-08,14.25,14.75,13.25,14.75,10.929616928100586,36200
31,1996-11-11,14.75,14.75,14.0,14.0,10.373873710632324,38500
32,1996-11-12,14.0,14.75,14.0,14.5,10.744369506835938,37400
33,1996-11-13,14.75,14.75,14.0,14.0,10.373873710632324,28900
34,1996-11-14,14.0,14.5,13.5,13.5,10.003378868103027,28300
35,1996-11-15,14.25,14.25,13.5,13.5625,10.049690246582031,20000
36,1996-11-18,14.25,14.25,13.25,13.75,10.188626289367676,22300
37,1996-11-19,13.75,13.75,13.25,13.75,10.188626289367676,16300
38,1996-11-20,13.75,13.75,13.5,13.5,10.003378868103027,12600
39,1996-11-21,13.25,13.75,11.25,12.0,8.891891479492188,347100
40,1996-11-22,12.125,12.125,9.75,11.25,8.336148262023926,608900
41,1996-11-25,11.5,12.125,11.0,12.125,8.984516143798828,209200
42,1996-11-26,12.125,12.75,11.75,12.75,9.447635650634766,189700
43,1996-11-27,12.8125,13.25,12.0,12.375,9.169763565063477,66600
44,1996-11-29,12.625,12.625,12.25,12.625,9.355010986328125,16200
45,1996-12-02,13.0,13.25,12.25,12.75,9.447635650634766,52800
46,1996-12-03,12.25,12.75,12.25,12.375,9.169763565063477,78500
47,1996-12-04,12.5,12.5,11.75,11.75,8.706644058227539,35100
48,1996-12-05,12.25,12.25,11.25,12.0,8.891891479492188,29700
49,1996-12-06,10.75,11.75,10.5,11.75,8.706644058227539,85000
50,1996-12-09,11.75,11.875,11.25,11.375,8.428772926330566,23700
51,1996-12-10,11.875,11.875,11.375,11.375,8.428772926330566,79100
52,1996-12-11,11.875,12.5,11.5,12.25,9.077139854431152,205200
53,1996-12-12,12.25,12.5,12.0,12.0,8.891891479492188,145300
54,1996-12-13,12.5,12.75,11.875,12.625,9.355010986328125,55000
55,1996-12-16,12.625,13.25,12.25,13.25,9.818130493164062,44400
56,1996-12-17,13.0,13.25,12.5,13.25,9.818130493164062,16800
57,1996-12-18,12.5,13.25,12.5,13.25,9.818130493164062,20700
58,1996-12-19,12.5,13.0,12.5,13.0,9.632883071899414,22600
59,1996-12-20,12.5,13.0,12.5,12.5,9.2623872756958,17700
60,1996-12-23,13.0,13.0,12.25,12.75,9.447635650634766,33800
61,1996-12-24,12.25,12.75,12.0,12.5,9.2623872756958,15300
62,1996-12-26,12.125,12.5,12.0,12.5,9.2623872756958,51000
63,1996-12-27,12.125,12.5,12.0,12.0,8.891891479492188,12400
64,1996-12-30,12.0,12.5,11.5,11.5,8.52139663696289,38400
65,1996-12-31,11.375,12.5,11.375,12.5,9.2623872756958,30500
66,1997-01-02,12.5,13.0,12.25,13.0,9.632883071899414,6700
67,1997-01-03,13.0,13.25,12.5,13.0,9.632883071899414,16200
68,1997-01-06,12.5,14.125,12.5,13.0,9.632883071899414,48500
69,1997-01-07,13.5,13.5,13.0,13.25,9.818130493164062,24100
70,1997-01-08,13.5,14.0,13.0,13.375,9.910754203796387,50000
71,1997-01-09,13.75,13.75,13.25,13.375,9.910754203796387,26600
72,1997-01-10,13.0,13.5,12.875,13.0,9.632883071899414,13300
73,1997-01-13,13.0,13.5,13.0,13.5,10.003378868103027,27800
74,1997-01-14,13.5,13.5,12.5,13.0,9.632883071899414,35200
75,1997-01-15,12.5,13.25,12.25,12.875,9.54025936126709,45100
76,1997-01-16,12.25,12.75,12.25,12.5,9.2623872756958,149700
77,1997-01-17,12.75,12.75,12.25,12.75,9.447635650634766,21800
78,1997-01-20,12.75,12.75,12.0,12.25,9.077139854431152,62700
79,1997-01-21,12.75,12.75,12.25,12.625,9.355010986328125,79100
80,1997-01-22,12.25,12.625,12.25,12.625,9.355010986328125,180000
81,1997-01-23,12.625,12.625,12.375,12.5625,9.308699607849121,54200
82,1997-01-24,12.625,13.0,12.5,13.0,9.632883071899414,75700
83,1997-01-27,12.5,12.875,12.5,12.875,9.54025936126709,19900
84,1997-01-28,12.5,13.25,12.5,12.625,9.355010986328125,43400
85,1997-01-29,13.25,13.25,12.875,13.25,9.818130493164062,29100
86,1997-01-30,13.0,13.25,12.75,12.75,9.447635650634766,12200
87,1997-01-31,13.25,13.25,12.5,13.0,9.632883071899414,26800
88,1997-02-03,12.5,13.0,12.5,12.5,9.2623872756958,8600
89,1997-02-04,13.0,13.375,12.5,13.375,9.910754203796387,31100
90,1997-02-05,13.375,13.5,13.0,13.125,9.725506782531738,16400
91,1997-02-06,14.25,14.25,13.375,13.75,10.188626289367676,199200
92,1997-02-07,13.75,14.625,13.625,14.0,10.373873710632324,80800
93,1997-02-10,14.375,14.375,13.5,14.125,10.466497421264648,24400
94,1997-02-11,13.5,14.25,13.5,14.0,10.373873710632324,39600
95,1997-02-12,14.375,14.375,13.5,13.5,10.003378868103027,53400
96,1997-02-13,14.0,14.0,13.625,14.0,10.373873710632324,163800
97,1997-02-14,14.25,14.5,13.875,14.25,10.559122085571289,149100
98,1997-02-18,14.5,14.75,14.25,14.75,10.929616928100586,147300
99,1997-02-19,14.75,14.75,14.25,14.25,10.559122085571289,48200
100,1997-02-20,14.875,14.875,13.5,13.5,10.003378868103027,67300
101,1997-02-21,13.375,13.5,12.875,13.5,10.003378868103027,14800
102,1997-02-24,13.5,13.5,12.875,12.875,9.54025936126709,11700
103,1997-02-25,13.5,13.5,12.75,12.75,9.447635650634766,33800
104,1997-02-26,12.75,13.375,12.625,12.625,9.355010986328125,139600
105,1997-02-27,12.625,13.0,12.625,12.625,9.355010986328125,114900
106,1997-02-28,13.0,13.0,12.5,12.875,9.54025936126709,75000
107,1997-03-03,12.625,13.375,12.375,12.875,9.54025936126709,212300
108,1997-03-04,12.75,13.375,12.75,12.875,9.54025936126709,67900
109,1997-03-05,13.375,13.375,12.75,12.75,9.447635650634766,19400
110,1997-03-06,13.25,13.25,12.75,13.125,9.725506782531738,41200
111,1997-03-07,12.75,13.125,12.75,13.125,9.725506782531738,104500
112,1997-03-10,12.75,13.75,12.75,13.25,9.818130493164062,39600
113,1997-03-11,13.25,14.375,13.25,14.25,10.559122085571289,175200
114,1997-03-12,14.5,14.5,14.0,14.125,10.466497421264648,160700
115,1997-03-13,14.5,15.25,14.375,15.0,11.11486530303955,392200
116,1997-03-14,15.125,15.125,14.5,14.625,10.836993217468262,82300
117,1997-03-17,14.75,14.75,13.375,13.375,9.910754203796387,128700
118,1997-03-18,13.75,14.5,13.5,13.875,10.28125,75000
119,1997-03-19,14.125,14.125,13.125,13.625,10.096002578735352,48300
120,1997-03-20,14.0,14.0,13.625,13.625,10.096002578735352,11200
121,1997-03-21,14.0,14.0,13.5,13.5,10.003378868103027,23500
122,1997-03-24,13.75,13.75,13.0,13.5,10.003378868103027,42500
123,1997-03-25,13.75,13.75,13.0,13.25,9.818130493164062,30900
124,1997-03-26,13.0,13.625,13.0,13.375,9.910754203796387,9600
125,1997-03-27,13.625,13.625,12.875,12.875,9.54025936126709,16800
126,1997-03-31,12.875,13.125,12.5,13.125,9.725506782531738,51100
127,1997-04-01,12.5,12.875,12.5,12.875,9.54025936126709,600
128,1997-04-02,12.5,13.125,12.5,12.5,9.2623872756958,13500
129,1997-04-03,12.375,12.75,11.5,12.0,8.891891479492188,52200
130,1997-04-04,12.0,12.75,11.875,12.625,9.355010986328125,57000
131,1997-04-07,13.0,13.25,12.625,13.25,9.818130493164062,28500
132,1997-04-08,13.25,13.25,12.375,12.75,9.447635650634766,45100
133,1997-04-09,12.75,13.25,12.75,13.0,9.632883071899414,14000
134,1997-04-10,12.875,13.25,12.75,12.75,9.447635650634766,26100
135,1997-04-11,12.75,13.25,12.625,12.625,9.355010986328125,15300
136,1997-04-14,12.75,13.0,11.875,12.375,9.169763565063477,18000
137,1997-04-15,12.125,12.875,12.125,12.875,9.54025936126709,35800
138,1997-04-16,12.5,13.0,12.5,12.75,9.447635650634766,28500
