,Date,Open,High,Low,Close,Adj Close,Volume
0,1990-01-02,3.9375,4.125,3.8125,4.125,4.125,2544000
1,1990-01-03,4.0625,4.125,3.9375,4.0,4.0,686800
2,1990-01-04,4.0,4.0625,3.875,3.9375,3.9375,944200
3,1990-01-05,3.8125,3.8125,3.6875,3.8125,3.8125,1511000
4,1990-01-08,3.8125,3.8125,3.75,3.8125,3.8125,477000
5,1990-01-09,3.8125,3.875,3.75,3.875,3.875,1075000
6,1990-01-10,3.8125,3.875,3.8125,3.8125,3.8125,1191600
7,1990-01-11,3.8125,3.875,3.8125,3.875,3.875,395400
8,1990-01-12,3.75,3.8125,3.6875,3.75,3.75,832600
9,1990-01-15,3.6875,3.75,3.625,3.625,3.625,439600
10,1990-01-16,3.625,3.9375,3.5625,3.9375,3.9375,935800
11,1990-01-17,3.8125,3.875,3.75,3.8125,3.8125,930000
12,1990-01-18,3.75,3.875,3.75,3.8125,3.8125,501400
13,1990-01-19,3.8125,3.875,3.75,3.75,3.75,324800
14,1990-01-22,3.75,3.875,3.75,3.75,3.75,345600
15,1990-01-23,3.75,3.875,3.6875,3.6875,3.6875,283400
16,1990-01-24,3.625,3.875,3.5625,3.8125,3.8125,617800
17,1990-01-25,3.8125,3.875,3.75,3.8125,3.8125,394000
18,1990-01-26,3.75,3.875,3.6875,3.6875,3.6875,612000
19,1990-01-29,3.6875,3.75,3.6875,3.6875,3.6875,171200
20,1990-01-30,3.75,3.75,3.5625,3.625,3.625,313000
21,1990-01-31,3.625,3.75,3.625,3.625,3.625,844200
22,1990-02-01,3.625,3.6875,3.5625,3.625,3.625,696600
23,1990-02-02,3.625,3.625,3.5,3.5,3.5,475600
24,1990-02-05,3.5,3.5625,3.4375,3.5625,3.5625,313400
25,1990-02-06,3.5,3.625,3.4375,3.5,3.5,561800
26,1990-02-07,3.5,3.6875,3.4375,3.6875,3.6875,590200
27,1990-02-08,3.625,3.6875,3.625,3.6875,3.6875,514800
28,1990-02-09,3.625,3.6875,3.625,3.625,3.625,135600
29,1990-02-12,3.625,3.6875,3.5,3.5,3.5,333000
30,1990-02-13,3.5,3.625,3.5,3.5625,3.5625,152600
31,1990-02-14,3.5625,3.625,3.5625,3.5625,3.5625,84200
32,1990-02-15,3.5625,3.625,3.5625,3.5625,3.5625,99800
33,1990-02-16,3.5625,3.625,3.5625,3.625,3.625,213000
34,1990-02-20,3.5625,3.625,3.5625,3.5625,3.5625,305800
35,1990-02-21,3.5625,3.75,3.5,3.75,3.75,874800
36,1990-02-22,3.75,3.9375,3.75,3.875,3.875,1695000
37,1990-02-23,3.875,3.9375,3.8125,3.875,3.875,651600
38,1990-02-26,3.875,4.125,3.875,4.0625,4.0625,1289400
39,1990-02-27,4.25,4.375,4.1875,4.3125,4.3125,2304400
40,1990-02-28,4.3125,4.375,4.125,4.125,4.125,1223600
41,1990-03-01,4.125,4.375,4.125,4.375,4.375,820600
42,1990-03-02,4.375,4.5625,4.375,4.5,4.5,1771000
43,1990-03-05,4.5,4.625,4.375,4.625,4.625,1325000
44,1990-03-06,4.6875,4.6875,4.5625,4.5625,4.5625,1185000
45,1990-03-07,4.625,4.6875,4.5,4.5,4.5,506000
46,1990-03-08,4.5,4.5625,4.4375,4.5,4.5,268400
47,1990-03-09,4.4375,4.5625,4.4375,4.5,4.5,282000
48,1990-03-12,4.4375,4.5,4.4375,4.4375,4.4375,532600
49,1990-03-13,4.4375,4.5,4.375,4.4375,4.4375,866600
50,1990-03-14,4.4375,4.5625,4.4375,4.5625,4.5625,731600
51,1990-03-15,4.5625,4.5625,4.4375,4.5,4.5,518000
52,1990-03-16,4.5625,4.6875,4.5,4.625,4.625,1199600
53,1990-03-19,4.625,4.875,4.5625,4.8125,4.8125,1644600
54,1990-03-20,4.875,4.875,4.5,4.5,4.5,1515600
55,1990-03-21,4.625,4.875,4.625,4.75,4.75,2375000
56,1990-03-22,4.6875,4.875,4.625,4.8125,4.8125,1576200
57,1990-03-23,4.9375,5.0625,4.9375,4.9375,4.9375,1940200
58,1990-03-26,5.0,5.0,4.8125,4.8125,4.8125,595000
59,1990-03-27,4.8125,4.9375,4.75,4.875,4.875,770800
60,1990-03-28,4.8125,4.8125,4.75,4.75,4.75,391200
61,1990-03-29,4.75,4.8125,4.625,4.6875,4.6875,285200
62,1990-03-30,4.625,4.625,4.5,4.5625,4.5625,1195400
63,1990-04-02,4.4375,4.6875,4.4375,4.6875,4.6875,1291600
64,1990-04-03,4.6875,4.75,4.625,4.625,4.625,764800
65,1990-04-04,4.5625,4.6875,4.5625,4.5625,4.5625,367400
66,1990-04-05,4.5625,4.625,4.5,4.5,4.5,276400
67,1990-04-06,4.5625,4.625,4.4375,4.4375,4.4375,453400
68,1990-04-09,4.5,4.5625,4.1875,4.25,4.25,767400
69,1990-04-10,4.25,4.375,4.1875,4.375,4.375,564600
70,1990-04-11,4.375,4.5,4.375,4.4375,4.4375,390400
71,1990-04-12,4.4375,4.5,4.375,4.4375,4.4375,383600
72,1990-04-16,4.4375,4.4375,4.125,4.3125,4.3125,1500400
73,1990-04-17,4.3125,4.5,4.25,4.4375,4.4375,797000
74,1990-04-18,4.5,4.5,4.375,4.375,4.375,485200
75,1990-04-19,4.4375,4.4375,4.3125,4.3125,4.3125,332000
76,1990-04-20,4.3125,4.375,4.25,4.3125,4.3125,564000
77,1990-04-23,4.3125,4.3125,4.125,4.1875,4.1875,325200
78,1990-04-24,4.25,4.25,4.0625,4.1875,4.1875,1629000
79,1990-04-25,4.125,4.25,4.0625,4.1875,4.1875,383400
80,1990-04-26,4.1875,4.3125,4.1875,4.3125,4.3125,445000
81,1990-04-27,4.3125,4.375,4.25,4.3125,4.3125,205600
82,1990-04-30,4.25,4.375,4.25,4.375,4.375,230200
83,1990-05-01,4.375,4.4375,4.3125,4.375,4.375,730000
84,1990-05-02,4.3125,4.375,4.3125,4.3125,4.3125,113400
85,1990-05-03,4.375,4.4375,4.25,4.3125,4.3125,365000
86,1990-05-04,4.25,4.3125,4.125,4.1875,4.1875,390200
87,1990-05-07,4.1875,4.375,4.1875,4.3125,4.3125,863800
88,1990-05-08,4.375,4.5,4.3125,4.5,4.5,1053200
89,1990-05-09,4.5,4.5625,4.4375,4.5,4.5,461000
90,1990-05-10,4.5625,4.625,4.4375,4.5625,4.5625,1711400
91,1990-05-11,4.5,4.75,4.5,4.75,4.75,2194800
92,1990-05-14,4.75,5.0,4.6875,4.9375,4.9375,2734600
93,1990-05-15,4.9375,5.1875,4.875,5.0625,5.0625,2955400
94,1990-05-16,5.0625,5.3125,4.9375,5.0,5.0,3724200
95,1990-05-17,5.0625,5.25,5.0,5.25,5.25,1432000
96,1990-05-18,5.25,5.25,5.0625,5.1875,5.1875,615200
97,1990-05-21,5.25,5.5,5.125,5.375,5.375,3713600
98,1990-05-22,5.5,5.5625,5.3125,5.375,5.375,1709800
99,1990-05-23,5.3125,5.625,5.3125,5.5625,5.5625,2368600
100,1990-05-24,5.5,5.5625,5.375,5.4375,5.4375,1427800
101,1990-05-25,5.375,5.375,5.0,5.375,5.375,1856200
102,1990-05-29,5.3125,5.5625,5.25,5.5,5.5,1052000
103,1990-05-30,5.625,5.6875,5.375,5.375,5.375,1559800
104,1990-05-31,5.3125,5.375,5.25,5.25,5.25,1009800
105,1990-06-01,5.3125,5.375,5.1875,5.25,5.25,1158000
106,1990-06-04,5.1875,5.375,5.1875,5.375,5.375,689200
107,1990-06-05,5.1875,5.25,5.0,5.0625,5.0625,2936400
108,1990-06-06,5.125,5.1875,5.0625,5.125,5.125,591200
109,1990-06-07,5.125,5.1875,4.875,4.875,4.875,2536800
110,1990-06-08,4.875,4.9375,4.75,4.8125,4.8125,937000
111,1990-06-11,4.8125,4.9375,4.8125,4.875,4.875,671600
112,1990-06-12,4.9375,5.0,4.75,4.9375,4.9375,4471000
113,1990-06-13,5.0,5.0,4.875,4.9375,4.9375,1418800
114,1990-06-14,4.9375,4.9375,4.6875,4.6875,4.6875,1289400
115,1990-06-15,4.625,4.75,4.625,4.6875,4.6875,824400
116,1990-06-18,4.6875,4.6875,4.5625,4.625,4.625,995200
117,1990-06-19,4.5625,4.6875,4.5,4.625,4.625,435600
118,1990-06-20,4.625,4.625,4.4375,4.5625,4.5625,1040400
119,1990-06-21,4.5625,4.625,4.5,4.625,4.625,371400
120,1990-06-22,4.6875,4.75,4.5,4.5,4.5,664200
121,1990-06-25,4.5625,4.625,4.4375,4.5,4.5,291600
122,1990-06-26,4.5625,4.5625,4.4375,4.5,4.5,331000
123,1990-06-27,4.4375,4.5625,4.4375,4.5625,4.5625,432600
124,1990-06-28,4.5625,4.6875,4.5,4.6875,4.6875,1693400
125,1990-06-29,4.6875,4.75,4.625,4.75,4.75,570600
126,1990-07-02,4.75,4.875,4.6875,4.875,4.875,1623600
127,1990-07-03,4.875,4.875,4.75,4.75,4.75,403400
