,Date,Open,High,Low,Close,Adj Close,Volume
0,1990-01-02,1.9375,1.9375,1.875,1.9375,1.9375,11000
1,1990-01-03,1.875,1.9375,1.875,1.9375,1.9375,20400
2,1990-01-04,1.9375,2.0625,1.9375,2.0,2.0,92600
3,1990-01-05,2.0625,2.0625,2.0,2.0,2.0,14400
4,1990-01-08,2.0,2.0,2.0,2.0,2.0,200
5,1990-01-09,2.0,2.0625,2.0,2.0625,2.0625,5200
6,1990-01-10,2.0625,2.0625,2.0,2.0,2.0,68000
7,1990-01-11,2.0,2.125,2.0,2.125,2.125,52200
8,1990-01-12,2.0625,2.125,1.9375,1.9375,1.9375,54400
9,1990-01-15,1.9375,2.0,1.875,2.0,2.0,5800
10,1990-01-16,1.9375,1.9375,1.9375,1.9375,1.9375,800
11,1990-01-17,1.875,1.9375,1.875,1.9375,1.9375,18000
12,1990-01-18,2.0,2.125,2.0,2.0625,2.0625,56800
13,1990-01-19,2.125,2.125,2.0625,2.0625,2.0625,6000
14,1990-01-22,2.0625,2.125,2.0,2.0,2.0,6600
15,1990-01-23,1.9375,2.0625,1.9375,2.0625,2.0625,13000
16,1990-01-24,1.9375,1.9375,1.875,1.9375,1.9375,19600
17,1990-01-25,1.875,1.875,1.8125,1.875,1.875,39600
18,1990-01-26,1.875,1.9375,1.8125,1.8125,1.8125,20200
19,1990-01-29,1.875,1.875,1.8125,1.8125,1.8125,11400
20,1990-01-30,1.875,1.875,1.8125,1.8125,1.8125,4000
21,1990-01-31,1.875,1.9375,1.875,1.9375,1.9375,13200
22,1990-02-01,1.9375,1.9375,1.9375,1.9375,1.9375,10000
23,1990-02-02,1.9375,2.0,1.875,2.0,2.0,48600
24,1990-02-05,1.9375,1.9375,1.875,1.875,1.875,7000
25,1990-02-06,1.875,1.9375,1.8125,1.9375,1.9375,16400
26,1990-02-07,1.875,1.875,1.8125,1.875,1.875,16000
27,1990-02-08,1.875,2.0625,1.875,2.0625,2.0625,897200
28,1990-02-09,2.125,2.125,2.0625,2.0625,2.0625,39400
29,1990-02-12,2.0625,2.125,2.0,2.0625,2.0625,10800
30,1990-02-13,2.0,2.0625,2.0,2.0,2.0,11400
31,1990-02-14,2.0625,2.125,2.0625,2.125,2.125,22600
32,1990-02-15,2.0625,2.0625,2.0625,2.0625,2.0625,18000
33,1990-02-16,2.0625,2.0625,2.0,2.0625,2.0625,11000
34,1990-02-20,2.0,2.0,1.9375,2.0,2.0,7800
35,1990-02-21,1.9375,1.9375,1.9375,1.9375,1.9375,800
36,1990-02-22,1.9375,2.0,1.9375,1.9375,1.9375,15800
37,1990-02-23,1.9375,2.0,1.9375,2.0,2.0,7400
38,1990-02-26,2.0,2.0,2.0,2.0,2.0,0
39,1990-02-27,2.0,2.0,1.9375,1.9375,1.9375,4400
40,1990-02-28,2.0,2.4375,1.9375,2.4375,2.4375,46200
