,Date,Open,High,Low,Close,Adj Close,Volume
0,1992-09-22,2.0,2.0,1.875,1.90625,1.90625,2121200
1,1992-09-23,1.90625,1.96875,1.875,1.9375,1.9375,402800
2,1992-09-24,1.9375,1.96875,1.875,1.9375,1.9375,197200
3,1992-09-25,1.9375,1.96875,1.875,1.90625,1.90625,556000
4,1992-09-28,1.90625,1.96875,1.875,1.9375,1.9375,69600
5,1992-09-29,1.9375,2.0,1.875,1.90625,1.90625,734800
6,1992-09-30,2.0,2.0625,1.90625,2.03125,2.03125,406800
7,1992-10-01,1.96875,2.0,1.90625,1.90625,1.90625,170800
8,1992-10-02,1.90625,2.0,1.90625,1.9375,1.9375,248400
9,1992-10-05,1.96875,1.96875,1.84375,1.90625,1.90625,416000
10,1992-10-06,1.90625,1.9375,1.84375,1.875,1.875,494400
11,1992-10-07,1.90625,1.9375,1.90625,1.9375,1.9375,109200
12,1992-10-08,1.9375,2.03125,1.90625,2.03125,2.03125,274800
13,1992-10-09,2.03125,2.03125,1.96875,2.0,2.0,102400
14,1992-10-12,1.96875,2.03125,1.96875,2.03125,2.03125,39200
15,1992-10-13,1.96875,2.125,1.96875,2.125,2.125,182800
16,1992-10-14,2.125,2.1875,2.0625,2.0625,2.0625,287200
17,1992-10-15,2.0625,2.09375,2.0625,2.0625,2.0625,80800
18,1992-10-16,2.0625,2.09375,2.0625,2.09375,2.09375,71600
19,1992-10-19,2.0625,2.09375,2.0625,2.09375,2.09375,33600
20,1992-10-20,2.125,2.125,2.0625,2.125,2.125,28400
21,1992-10-21,2.0625,2.125,2.0625,2.0625,2.0625,45600
22,1992-10-22,2.0625,2.125,2.0625,2.09375,2.09375,132400
23,1992-10-23,2.09375,2.09375,2.0625,2.0625,2.0625,58000
24,1992-10-26,2.09375,2.09375,2.0625,2.0625,2.0625,4000
25,1992-10-27,2.0625,2.125,2.0625,2.0625,2.0625,68400
26,1992-10-28,2.09375,2.15625,2.0625,2.0625,2.0625,143200
27,1992-10-29,2.09375,2.125,2.09375,2.09375,2.09375,140400
28,1992-10-30,2.09375,2.09375,2.09375,2.09375,2.09375,1600
29,1992-11-02,2.09375,2.125,2.09375,2.125,2.125,12800
30,1992-11-03,2.125,2.125,2.0625,2.0625,2.0625,60400
31,1992-11-04,2.0625,2.15625,2.0625,2.0625,2.0625,24000
32,1992-11-05,2.0625,2.125,2.0625,2.0625,2.0625,33200
33,1992-11-06,2.15625,2.15625,2.0625,2.15625,2.15625,65600
34,1992-11-09,2.15625,2.15625,2.09375,2.15625,2.15625,43600
35,1992-11-10,2.15625,2.1875,2.09375,2.1875,2.1875,89600
36,1992-11-11,2.15625,2.1875,2.15625,2.1875,2.1875,44400
37,1992-11-12,2.125,2.375,2.125,2.34375,2.34375,320800
38,1992-11-13,2.375,2.375,2.28125,2.375,2.375,50800
39,1992-11-16,2.3125,2.40625,2.3125,2.34375,2.34375,64400
40,1992-11-17,2.34375,2.375,2.3125,2.375,2.375,92000
41,1992-11-18,2.375,2.375,2.3125,2.3125,2.3125,52000
42,1992-11-19,2.375,2.375,2.3125,2.3125,2.3125,20000
43,1992-11-20,2.3125,2.375,2.3125,2.375,2.375,36000
44,1992-11-23,2.375,2.375,2.3125,2.3125,2.3125,122400
45,1992-11-24,2.3125,2.375,2.25,2.3125,2.3125,354800
46,1992-11-25,2.3125,2.375,2.3125,2.3125,2.3125,30000
47,1992-11-27,2.40625,2.5,2.34375,2.5,2.5,248000
48,1992-11-30,2.5,2.53125,2.40625,2.5,2.5,360000
49,1992-12-01,2.46875,2.5,2.40625,2.46875,2.46875,78800
50,1992-12-02,2.46875,2.46875,2.40625,2.40625,2.40625,67200
51,1992-12-03,2.46875,2.46875,2.40625,2.40625,2.40625,44400
52,1992-12-04,2.46875,2.46875,2.34375,2.40625,2.40625,257200
53,1992-12-07,2.40625,2.4375,2.34375,2.4375,2.4375,48000
54,1992-12-08,2.4375,2.65625,2.375,2.625,2.625,800000
55,1992-12-09,2.65625,2.6875,2.5625,2.6875,2.6875,432000
56,1992-12-10,2.75,2.75,2.65625,2.75,2.75,118000
57,1992-12-11,2.75,2.8125,2.65625,2.8125,2.8125,279200
58,1992-12-14,2.78125,3.0,2.75,3.0,3.0,486800
59,1992-12-15,3.0,3.03125,2.9375,3.0,3.0,277600
60,1992-12-16,3.0,3.0,2.84375,2.875,2.875,204000
61,1992-12-17,2.9375,2.96875,2.875,2.875,2.875,59200
