,Date,Open,High,Low,Close,Adj Close,Volume
0,1990-01-02,0.0,8.5,8.0,8.0,8.0,1700
1,1990-01-03,0.0,8.5,8.0,8.0,8.0,0
2,1990-01-04,0.0,8.5,8.0,8.0,8.0,0
3,1990-01-05,0.0,8.5,8.0,8.0,8.0,100
4,1990-01-08,0.0,8.5,8.0,8.0,8.0,600
5,1990-01-09,0.0,8.25,7.5,7.5,7.5,2800
6,1990-01-10,0.0,8.0,7.25,7.25,7.25,1200
7,1990-01-11,0.0,7.75,7.25,7.25,7.25,0
8,1990-01-12,0.0,7.5,7.0,7.0,7.0,1000
9,1990-01-15,7.0,7.0,7.0,7.0,7.0,0
10,1990-01-16,0.0,7.5,7.0,7.0,7.0,2000
11,1990-01-17,0.0,7.5,7.0,7.0,7.0,1000
12,1990-01-18,0.0,7.5,7.0,7.0,7.0,1300
13,1990-01-19,0.0,7.5,7.0,7.0,7.0,600
14,1990-01-22,0.0,7.25,7.0,7.0,7.0,9900
15,1990-01-23,0.0,7.0,6.75,6.75,6.75,6800
16,1990-01-24,0.0,7.0,6.25,6.25,6.25,7800
17,1990-01-25,0.0,7.0,6.5,6.5,6.5,1500
18,1990-01-26,0.0,6.5,6.0,6.0,6.0,3900
19,1990-01-29,0.0,6.5,6.0,6.0,6.0,200
20,1990-01-30,0.0,6.5,6.0,6.0,6.0,1500
21,1990-01-31,6.0,6.0,6.0,6.0,6.0,0
22,1990-02-01,0.0,6.5,6.0,6.0,6.0,500
23,1990-02-02,6.0,6.0,6.0,6.0,6.0,0
24,1990-02-05,0.0,7.0,6.25,6.25,6.25,4600
25,1990-02-06,0.0,6.75,6.25,6.25,6.25,100
26,1990-02-07,6.25,6.25,6.25,6.25,6.25,0
27,1990-02-08,6.25,6.25,6.25,6.25,6.25,0
28,1990-02-09,0.0,7.0,6.5,6.5,6.5,1900
29,1990-02-12,0.0,7.0,6.5,6.5,6.5,0
30,1990-02-13,0.0,7.0,6.5,6.5,6.5,3200
31,1990-02-14,0.0,7.0,6.75,6.75,6.75,1400
32,1990-02-15,0.0,7.0,6.75,6.75,6.75,1300
33,1990-02-16,0.0,7.0,6.75,6.75,6.75,400
34,1990-02-20,0.0,7.0,6.5,6.5,6.5,1700
35,1990-02-21,0.0,6.75,6.25,6.25,6.25,2200
36,1990-02-22,0.0,6.75,6.0,6.0,6.0,200
37,1990-02-23,0.0,6.75,6.0,6.0,6.0,100
38,1990-02-26,6.0,6.0,6.0,6.0,6.0,0
39,1990-02-27,6.0,6.0,6.0,6.0,6.0,0
40,1990-02-28,0.0,6.75,6.25,6.25,6.25,1300
41,1990-03-01,0.0,7.25,6.75,6.75,6.75,17000
42,1990-03-02,0.0,7.25,6.75,6.75,6.75,1700
43,1990-03-05,0.0,7.5,7.0,7.0,7.0,3300
44,1990-03-06,0.0,7.5,7.25,7.25,7.25,3900
45,1990-03-07,0.0,7.5,7.25,7.25,7.25,700
46,1990-03-08,0.0,7.5,7.25,7.25,7.25,1000
47,1990-03-09,0.0,7.5,7.25,7.25,7.25,600
48,1990-03-12,0.0,7.5,7.25,7.25,7.25,100
49,1990-03-13,0.0,7.5,7.0,7.0,7.0,3700
50,1990-03-14,0.0,7.25,7.0,7.0,7.0,700
51,1990-03-15,0.0,7.25,7.0,7.0,7.0,900
52,1990-03-16,0.0,7.5,7.0,7.0,7.0,2800
53,1990-03-19,0.0,7.75,7.25,7.25,7.25,6200
54,1990-03-20,0.0,7.75,7.25,7.25,7.25,1500
55,1990-03-21,7.25,7.25,7.25,7.25,7.25,0
56,1990-03-22,0.0,7.5,7.25,7.25,7.25,3900
57,1990-03-23,0.0,7.75,7.25,7.25,7.25,4000
58,1990-03-26,0.0,7.5,7.25,7.25,7.25,4200
59,1990-03-27,0.0,7.75,7.25,7.25,7.25,1400
60,1990-03-28,0.0,7.75,7.25,7.25,7.25,300
61,1990-03-29,7.25,7.25,7.25,7.25,7.25,0
62,1990-03-30,0.0,7.75,7.25,7.25,7.25,0
63,1990-04-02,0.0,7.75,7.25,7.25,7.25,4000
64,1990-04-03,0.0,7.75,7.25,7.25,7.25,1000
65,1990-04-04,0.0,7.75,7.0,7.0,7.0,1400
66,1990-04-05,7.0,7.0,7.0,7.0,7.0,0
67,1990-04-06,7.0,7.0,7.0,7.0,7.0,0
68,1990-04-09,0.0,7.75,7.25,7.25,7.25,1700
69,1990-04-10,0.0,7.75,7.25,7.25,7.25,300
70,1990-04-11,0.0,7.75,7.0,7.0,7.0,1000
71,1990-04-12,7.0,7.0,7.0,7.0,7.0,0
72,1990-04-16,0.0,7.25,7.0,7.0,7.0,700
73,1990-04-17,0.0,7.25,7.0,7.0,7.0,2700
74,1990-04-18,0.0,7.25,7.0,7.0,7.0,300
75,1990-04-19,0.0,7.25,7.0,7.0,7.0,500
76,1990-04-20,0.0,7.25,7.0,7.0,7.0,700
77,1990-04-23,0.0,7.25,7.0,7.0,7.0,300
78,1990-04-24,0.0,7.25,7.0,7.0,7.0,600
79,1990-04-25,0.0,7.25,7.0,7.0,7.0,3600
80,1990-04-26,0.0,7.25,7.0,7.0,7.0,4200
