,Date,Open,High,Low,Close,Adj Close,Volume
0,1999-03-26,263.75,290.0,195.0,201.25,201.25,1798900
1,1999-03-29,215.0,216.25,175.0,176.875,176.875,376100
2,1999-03-30,182.5,198.75,165.625,187.5,187.5,311100
3,1999-03-31,197.5,210.0,184.375,209.375,209.375,237300
4,1999-04-01,218.75,219.0625,193.125,199.6875,199.6875,150900
5,1999-04-05,210.625,211.25,182.5,185.0,185.0,139600
6,1999-04-06,185.0,206.25,180.0,187.5,187.5,130900
7,1999-04-07,199.375,200.0,179.6875,181.25,181.25,88000
8,1999-04-08,183.75,190.0,175.625,181.875,181.875,75300
9,1999-04-09,183.75,187.1875,177.5,180.0,180.0,48700
10,1999-04-12,176.875,193.75,175.0,188.75,188.75,123600
11,1999-04-13,190.0,206.875,187.5,195.0,195.0,144000
12,1999-04-14,205.625,220.0,190.0,195.0,195.0,213000
13,1999-04-15,207.5,207.5,178.75,181.25,181.25,101200
14,1999-04-16,183.75,191.25,175.0,180.0,180.0,75300
15,1999-04-19,188.125,188.125,125.0,135.625,135.625,196700
16,1999-04-20,135.3125,145.0,125.0,131.25,131.25,123000
17,1999-04-21,141.25,160.0,131.875,151.875,151.875,224900
18,1999-04-22,164.375,164.375,136.5625,140.0,140.0,148300
19,1999-04-23,141.25,148.125,139.375,144.375,144.375,61000
20,1999-04-26,156.875,167.5,152.5,163.125,163.125,153400
21,1999-04-27,178.75,178.75,156.875,165.625,165.625,150000
22,1999-04-28,165.0,165.0,151.875,153.4375,153.4375,64900
23,1999-04-29,150.0,155.0,137.5,145.0,145.0,77900
24,1999-04-30,157.5,160.0,137.5,150.0,150.0,76500
25,1999-05-03,152.8125,157.5,139.375,141.25,141.25,43700
26,1999-05-04,147.5,148.75,137.5,137.5,137.5,47700
27,1999-05-05,140.0,140.0,118.75,135.0,135.0,139400
28,1999-05-06,133.75,136.25,123.75,127.34375,127.34375,57100
29,1999-05-07,132.5,132.5,113.75,115.9375,115.9375,102000
30,1999-05-10,119.6875,119.6875,106.25,108.125,108.125,98000
31,1999-05-11,107.8125,117.5,106.25,112.5,112.5,85700
32,1999-05-12,115.0,127.1875,110.3125,125.3125,125.3125,108100
33,1999-05-13,122.5,131.875,122.5,129.375,129.375,84300
34,1999-05-14,122.1875,126.875,118.125,121.25,121.25,41900
35,1999-05-17,119.375,121.25,113.125,115.3125,115.3125,43500
36,1999-05-18,115.0,120.0,110.0,114.0625,114.0625,68400
37,1999-05-19,117.5,117.5,110.0,110.625,110.625,77200
38,1999-05-20,113.125,113.125,99.375,101.875,101.875,100300
39,1999-05-21,103.125,105.0,93.75,94.375,94.375,135700
40,1999-05-24,97.5,97.5,83.75,85.625,85.625,134600
41,1999-05-25,85.625,90.0,77.5,83.125,83.125,71800
42,1999-05-26,85.625,88.125,70.625,78.75,78.75,179000
43,1999-05-27,84.921875,130.0,82.8125,115.625,115.625,1530600
44,1999-05-28,117.1875,127.8125,102.5,112.5,112.5,643400
45,1999-06-01,111.25,112.1875,100.3125,100.625,100.625,118000
46,1999-06-02,98.125,99.375,87.8125,98.75,98.75,132600
47,1999-06-03,98.125,99.375,85.3125,88.75,88.75,61200
48,1999-06-04,86.25,90.9375,84.375,85.3125,85.3125,72900
49,1999-06-07,86.875,102.1875,86.875,95.3125,95.3125,106000
50,1999-06-08,99.375,99.6875,92.5,93.75,93.75,50300
51,1999-06-09,104.0625,111.875,100.625,101.875,101.875,237900
52,1999-06-10,102.5,104.375,96.25,103.75,103.75,97700
53,1999-06-11,105.0,105.3125,95.625,100.0,100.0,64000
54,1999-06-14,96.5625,100.0,86.25,89.6875,89.6875,54000
55,1999-06-15,88.75,98.125,88.75,90.625,90.625,36500
56,1999-06-16,95.0,105.0,93.125,100.625,100.625,73000
57,1999-06-17,105.625,110.0,103.125,105.9375,105.9375,90900
58,1999-06-18,110.625,113.4375,107.5,110.0,110.0,62700
59,1999-06-21,113.75,115.0,102.5,107.1875,107.1875,57600
60,1999-06-22,106.5625,107.5,99.375,100.3125,100.3125,55800
61,1999-06-23,99.6875,100.0,95.0,98.4375,98.4375,27000
62,1999-06-24,99.375,99.375,92.5,95.0,95.0,29500
63,1999-06-25,95.9375,101.875,95.0,97.5,97.5,38100
64,1999-06-28,96.5625,100.0,96.25,96.875,96.875,23600
65,1999-06-29,98.125,102.5,95.0,97.5,97.5,26900
66,1999-06-30,97.5,105.0,95.3125,104.375,104.375,67300
67,1999-07-01,105.625,110.0,98.75,101.875,101.875,58800
68,1999-07-02,99.375,106.25,98.125,100.0,100.0,23400
69,1999-07-06,100.0,116.25,100.0,109.375,109.375,180000
70,1999-07-07,115.625,121.875,107.8125,116.25,116.25,119100
71,1999-07-08,117.8125,118.125,109.0625,110.0,110.0,59800
72,1999-07-09,110.9375,111.875,102.5,105.625,105.625,47500
73,1999-07-12,107.5,109.6875,103.125,106.25,106.25,38700
74,1999-07-13,106.25,106.25,98.4375,104.0625,104.0625,57300
75,1999-07-14,106.25,108.125,102.1875,105.625,105.625,22600
76,1999-07-15,107.5,108.75,103.125,105.625,105.625,25800
77,1999-07-16,102.1875,104.6875,99.375,104.375,104.375,63500
78,1999-07-19,105.9375,106.875,100.0,100.0,100.0,26500
79,1999-07-20,97.5,105.0,97.5,102.96875,102.96875,51500
80,1999-07-21,98.125,102.5,97.8125,101.25,101.25,52100
81,1999-07-22,97.5,101.25,97.5,98.75,98.75,31200
82,1999-07-23,98.4375,100.0,92.8125,94.6875,94.6875,43500
83,1999-07-26,92.5,92.8125,86.5625,86.5625,86.5625,52800
84,1999-07-27,90.0,93.75,80.0,84.6875,84.6875,58100
85,1999-07-28,84.375,85.0,80.3125,82.5,82.5,53000
86,1999-07-29,81.875,90.3125,78.4375,88.75,88.75,50600
87,1999-07-30,98.75,102.5,86.25,89.6875,89.6875,156600
88,1999-08-02,93.75,94.0625,89.0625,89.6875,89.6875,89300
89,1999-08-03,90.625,90.625,80.0,82.5,82.5,75400
90,1999-08-04,82.34375,84.375,77.5,78.4375,78.4375,39600
91,1999-08-05,78.75,83.125,66.5625,77.5,77.5,75300
