,Date,Open,High,Low,Close,Adj Close,Volume
0,1993-03-12,25.0,27.5,25.0,26.25,26.25,2873800
1,1993-03-15,26.75,27.0,25.75,26.75,26.75,357600
2,1993-03-16,27.0,27.25,25.0,25.75,25.75,310300
3,1993-03-17,25.75,25.75,24.25,24.375,24.375,425800
4,1993-03-18,25.0,25.25,24.5,24.75,24.75,247000
5,1993-03-19,25.0,25.25,24.5,24.75,24.75,247800
6,1993-03-22,25.0,25.0,23.75,23.75,23.75,179900
7,1993-03-23,23.75,24.5,23.75,23.75,23.75,147200
8,1993-03-24,24.25,25.0,23.75,25.0,25.0,220200
9,1993-03-25,25.0,25.0,24.5,24.5,24.5,36800
10,1993-03-26,24.5,25.375,24.5,25.25,25.25,102600
11,1993-03-29,25.5,25.5,25.25,25.25,25.25,41000
12,1993-03-30,25.5,25.5,24.5,24.5,24.5,101700
13,1993-03-31,24.5,25.25,24.25,25.25,25.25,48500
14,1993-04-01,25.25,25.25,24.5,24.5,24.5,29000
15,1993-04-02,24.5,25.25,24.5,24.5,24.5,93700
16,1993-04-05,25.25,25.25,24.0,24.75,24.75,196200
17,1993-04-06,24.75,24.75,24.0,24.0,24.0,203900
18,1993-04-07,24.5,24.5,23.25,23.25,23.25,260700
19,1993-04-08,23.25,23.75,22.0,22.0,22.0,160200
20,1993-04-12,22.5,22.5,21.75,22.125,22.125,57700
21,1993-04-13,22.0,22.5,20.75,20.75,20.75,250000
22,1993-04-14,21.25,21.25,19.0,19.75,19.75,501200
23,1993-04-15,19.5,20.5,19.5,20.5,20.5,131000
24,1993-04-16,19.75,20.75,19.75,20.75,20.75,50000
25,1993-04-19,20.75,20.75,20.0,20.25,20.25,75900
26,1993-04-20,20.75,22.75,20.75,22.25,22.25,172000
27,1993-04-21,22.25,23.0,21.75,23.0,23.0,27700
28,1993-04-22,23.25,24.25,22.5,23.25,23.25,73300
29,1993-04-23,24.0,24.5,23.25,24.5,24.5,38900
30,1993-04-26,23.75,24.5,23.5,23.5,23.5,24500
31,1993-04-27,23.75,24.0,23.25,23.5,23.5,79100
32,1993-04-28,23.5,24.0,23.5,24.0,24.0,43200
33,1993-04-29,24.25,24.5,23.75,24.0,24.0,81600
34,1993-04-30,24.5,24.5,23.75,24.0,24.0,53500
35,1993-05-03,23.75,24.25,23.75,23.75,23.75,10300
36,1993-05-04,23.5,24.25,23.5,24.125,24.125,35800
37,1993-05-05,24.0,24.5,23.75,24.5,24.5,38700
38,1993-05-06,24.5,24.5,23.75,23.75,23.75,1200
39,1993-05-07,24.5,24.5,23.5,23.5,23.5,10400
40,1993-05-10,23.5,24.25,23.5,23.75,23.75,19100
41,1993-05-11,24.5,24.5,23.875,24.5,24.5,4500
42,1993-05-12,24.5,24.5,23.75,24.5,24.5,2100
43,1993-05-13,24.5,24.5,22.75,23.5,23.5,60400
44,1993-05-14,23.5,24.0,22.75,23.25,23.25,46400
45,1993-05-17,24.0,24.0,24.0,24.0,24.0,3500
46,1993-05-18,24.0,24.0,24.0,24.0,24.0,700
47,1993-05-19,24.0,24.0,23.0,23.75,23.75,12000
48,1993-05-20,22.75,23.75,22.75,23.75,23.75,62800
49,1993-05-21,23.625,23.75,23.0,23.125,23.125,50200
50,1993-05-24,23.0,23.75,21.75,22.0,22.0,61800
51,1993-05-25,22.375,23.0,22.0,23.0,23.0,27900
52,1993-05-26,23.0,23.0,22.625,23.0,23.0,8300
53,1993-05-27,22.5,23.0,22.5,23.0,23.0,15800
54,1993-05-28,23.0,23.0,22.25,22.75,22.75,47900
55,1993-06-01,22.75,22.75,22.25,22.25,22.25,47400
56,1993-06-02,22.5,22.5,21.75,22.5,22.5,26900
57,1993-06-03,22.5,22.5,21.5,21.5,21.5,132400
58,1993-06-04,21.875,22.25,21.5,22.25,22.25,23000
59,1993-06-07,21.5,22.25,21.5,22.25,22.25,22100
60,1993-06-08,21.5,22.25,21.5,22.0,22.0,151000
61,1993-06-09,21.5,22.0,20.0,20.125,20.125,238900
62,1993-06-10,20.25,21.0,19.25,21.0,21.0,69600
63,1993-06-11,21.25,22.0,20.5,20.5,20.5,97500
64,1993-06-14,21.25,21.25,20.0,20.25,20.25,58200
65,1993-06-15,20.75,20.75,20.25,20.75,20.75,102800
66,1993-06-16,20.25,20.75,20.25,20.75,20.75,1000
67,1993-06-17,20.75,20.75,20.25,20.25,20.25,6000
68,1993-06-18,20.75,20.75,20.0,20.0,20.0,35700
69,1993-06-21,20.0,20.75,20.0,20.25,20.25,12200
70,1993-06-22,20.75,20.75,20.25,20.25,20.25,19600
