,Date,Open,High,Low,Close,Adj Close,Volume
0,1998-05-21,10.5,11.5,10.4375,10.625,10.625,3224000
1,1998-05-22,10.625,10.9375,10.5,10.875,10.875,234400
2,1998-05-26,10.75,11.375,10.625,10.9375,10.9375,180200
3,1998-05-27,11.125,11.125,10.8125,10.8125,10.8125,85500
4,1998-05-28,11.125,11.125,10.8125,11.0,11.0,43400
5,1998-05-29,11.1875,11.1875,10.8125,11.125,11.125,55600
6,1998-06-01,11.1875,11.5625,10.8125,11.5625,11.5625,101700
7,1998-06-02,11.75,12.0,11.25,12.0,12.0,236800
8,1998-06-03,12.0,12.375,11.75,12.125,12.125,160200
9,1998-06-04,12.125,12.375,11.75,11.875,11.875,279400
10,1998-06-05,11.75,11.875,11.0,11.5,11.5,210900
11,1998-06-08,11.125,11.25,11.0,11.25,11.25,37300
12,1998-06-09,11.0,11.5,11.0,11.375,11.375,24400
13,1998-06-10,11.25,11.4375,11.25,11.375,11.375,85500
14,1998-06-11,11.25,11.375,11.1875,11.1875,11.1875,69100
15,1998-06-12,11.125,11.375,10.625,11.0,11.0,48400
16,1998-06-15,10.875,10.875,10.25,10.25,10.25,91700
17,1998-06-16,10.625,10.6875,10.25,10.375,10.375,43400
18,1998-06-17,10.5,10.5,10.125,10.125,10.125,129600
19,1998-06-18,10.375,10.375,10.125,10.125,10.125,69700
20,1998-06-19,10.125,10.625,10.125,10.625,10.625,48800
21,1998-06-22,10.625,10.6875,10.5,10.5,10.5,27000
22,1998-06-23,10.75,11.125,10.625,11.0625,11.0625,81000
23,1998-06-24,11.0,11.25,11.0,11.25,11.25,33900
24,1998-06-25,11.5,13.25,11.125,13.25,13.25,145200
25,1998-06-26,13.5,16.75,13.25,15.0,15.0,243300
26,1998-06-29,15.5,15.625,14.625,14.625,14.625,116600
27,1998-06-30,14.75,14.75,14.125,14.375,14.375,67600
28,1998-07-01,14.75,14.75,14.375,14.75,14.75,21900
29,1998-07-02,14.75,14.8125,14.375,14.5,14.5,10600
30,1998-07-06,14.875,15.375,14.75,14.75,14.75,51200
31,1998-07-07,15.125,15.125,14.125,14.125,14.125,78100
32,1998-07-08,14.125,14.5,13.875,14.0625,14.0625,45700
33,1998-07-09,14.0,14.375,13.875,14.25,14.25,9700
34,1998-07-10,13.875,14.25,13.875,13.875,13.875,3900
35,1998-07-13,14.125,14.125,13.0,13.5,13.5,178800
36,1998-07-14,13.75,13.75,13.125,13.75,13.75,11200
37,1998-07-15,13.75,13.75,13.375,13.5,13.5,4700
38,1998-07-16,13.375,13.9375,13.375,13.9375,13.9375,4100
39,1998-07-17,13.5,14.625,13.5,14.625,14.625,16600
40,1998-07-20,14.75,15.75,14.125,15.5,15.5,140500
41,1998-07-21,15.375,15.75,14.875,14.875,14.875,54500
42,1998-07-22,14.75,15.125,14.625,14.6875,14.6875,7500
43,1998-07-23,15.0,15.0,14.625,15.0,15.0,15100
44,1998-07-24,15.375,15.375,12.25,12.625,12.625,102100
45,1998-07-27,12.5,12.75,11.8125,11.875,11.875,39100
46,1998-07-28,12.25,12.5,11.625,12.125,12.125,48500
47,1998-07-29,12.375,12.375,11.75,11.8125,11.8125,10500
48,1998-07-30,12.0,12.25,11.875,12.1875,12.1875,54000
49,1998-07-31,12.375,12.375,12.125,12.125,12.125,8400
50,1998-08-03,13.75,14.5,13.5,13.9375,13.9375,299300
51,1998-08-04,14.25,14.25,13.875,14.0,14.0,171200
52,1998-08-05,14.0,14.125,13.5,13.5,13.5,42600
53,1998-08-06,13.75,13.75,13.25,13.625,13.625,8200
54,1998-08-07,13.625,13.625,13.0,13.0,13.0,24200
55,1998-08-10,13.625,13.75,13.125,13.4375,13.4375,62200
56,1998-08-11,12.75,13.5,12.75,12.875,12.875,47400
57,1998-08-12,13.0,13.0,12.25,12.75,12.75,30600
58,1998-08-13,12.75,12.75,11.375,11.875,11.875,90800
59,1998-08-14,12.125,12.25,12.0,12.25,12.25,10400
