,Date,Open,High,Low,Close,Adj Close,Volume
0,1994-10-26,8.25,8.25,7.875,7.9375,7.9375,5289000
1,1994-10-27,8.125,8.25,7.9375,8.25,8.25,733200
2,1994-10-28,8.25,9.0625,8.0625,8.8125,8.8125,1111200
3,1994-10-31,8.6875,8.875,8.4375,8.5,8.5,389000
4,1994-11-01,8.4375,8.625,7.9375,8.1875,8.1875,402000
5,1994-11-02,8.1875,8.5,8.1875,8.3125,8.3125,228400
6,1994-11-03,8.4375,8.5625,8.375,8.375,8.375,165600
7,1994-11-04,8.5625,8.5625,8.3125,8.5,8.5,139400
8,1994-11-07,8.3125,8.4375,8.1875,8.25,8.25,180800
9,1994-11-08,8.4375,8.4375,8.0625,8.1875,8.1875,270400
10,1994-11-09,8.25,8.375,8.25,8.25,8.25,456800
11,1994-11-10,8.25,8.5,8.25,8.3125,8.3125,78800
12,1994-11-11,8.3125,8.5,8.3125,8.5,8.5,27600
13,1994-11-14,8.5,8.5,8.3125,8.3125,8.3125,37800
14,1994-11-15,8.3125,8.375,8.0625,8.0625,8.0625,222000
15,1994-11-16,8.125,8.4375,8.125,8.3125,8.3125,52200
16,1994-11-17,8.25,8.5,8.25,8.34375,8.34375,240800
17,1994-11-18,8.5,9.0625,8.3125,9.0625,9.0625,323600
18,1994-11-21,8.8125,9.1875,8.75,8.8125,8.8125,106200
19,1994-11-22,8.6875,8.875,7.9375,8.0625,8.0625,293800
20,1994-11-23,7.875,8.25,7.875,8.125,8.125,48400
21,1994-11-25,8.0,8.1875,7.9375,8.0625,8.0625,98200
22,1994-11-28,8.0625,8.1875,8.0,8.1875,8.1875,266200
23,1994-11-29,8.1875,8.375,8.125,8.375,8.375,75000
24,1994-11-30,8.25,8.5,8.125,8.4375,8.4375,149000
25,1994-12-01,8.5625,8.5625,8.375,8.5,8.5,24400
26,1994-12-02,8.375,8.625,8.375,8.5625,8.5625,118800
27,1994-12-05,8.625,8.9375,8.5,8.9375,8.9375,209800
28,1994-12-06,8.9375,9.6875,8.8125,9.3125,9.3125,586600
29,1994-12-07,9.25,9.375,9.25,9.25,9.25,135800
30,1994-12-08,9.375,9.375,8.625,8.6875,8.6875,318600
31,1994-12-09,8.625,8.625,8.4375,8.4375,8.4375,255200
32,1994-12-12,8.4375,8.625,8.375,8.5625,8.5625,54000
33,1994-12-13,8.6875,8.75,8.5625,8.75,8.75,47800
34,1994-12-14,8.75,8.8125,8.5625,8.8125,8.8125,107600
