,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-12-14,10.625,10.625,9.75,9.875,9.875,820300
1,1995-12-15,9.875,9.875,9.5,9.5,9.5,151200
2,1995-12-18,9.625,9.75,9.5,9.625,9.625,148700
3,1995-12-19,9.5,9.875,9.5,9.75,9.75,33900
4,1995-12-20,9.75,10.0,9.6875,9.8125,9.8125,33000
5,1995-12-21,9.875,10.0,9.5,9.5,9.5,18200
6,1995-12-22,9.625,9.75,9.5,9.5,9.5,30200
7,1995-12-26,9.75,9.75,9.5,9.5,9.5,25100
8,1995-12-27,9.5,9.625,9.5,9.625,9.625,4000
9,1995-12-28,9.625,9.75,9.625,9.625,9.625,10100
10,1995-12-29,9.75,9.75,9.625,9.75,9.75,3200
11,1996-01-02,9.75,9.75,9.625,9.625,9.625,35800
12,1996-01-03,9.75,9.75,9.625,9.625,9.625,1900
13,1996-01-04,9.625,9.75,9.5,9.5,9.5,73400
14,1996-01-05,9.625,9.625,9.5,9.5,9.5,19800
15,1996-01-08,9.75,9.75,9.75,9.75,9.75,500
16,1996-01-09,9.5,9.5,9.5,9.5,9.5,17900
17,1996-01-10,9.5,9.625,9.5,9.625,9.625,12100
18,1996-01-11,9.5,9.625,9.5,9.5,9.5,12800
19,1996-01-12,9.625,9.625,9.5,9.5,9.5,11200
20,1996-01-15,9.625,9.625,9.5,9.5,9.5,37600
21,1996-01-16,9.5,9.5,9.5,9.5,9.5,47200
22,1996-01-17,9.5,9.5,9.5,9.5,9.5,30200
23,1996-01-18,9.5,9.5,9.125,9.25,9.25,32400
24,1996-01-19,9.0,9.125,9.0,9.0,9.0,32200
25,1996-01-22,9.125,9.375,9.0,9.375,9.375,9400
26,1996-01-23,9.375,9.375,9.0,9.0,9.0,4600
27,1996-01-24,9.0,9.25,9.0,9.25,9.25,1400
28,1996-01-25,9.25,10.125,9.25,10.125,10.125,23400
29,1996-01-26,10.125,10.25,9.875,10.0,10.0,7000
30,1996-01-29,10.0,10.375,10.0,10.25,10.25,15700
31,1996-01-30,10.5,10.5,10.125,10.25,10.25,26400
32,1996-01-31,10.25,10.25,10.125,10.125,10.125,4600
33,1996-02-01,10.125,10.25,10.125,10.25,10.25,20900
34,1996-02-02,10.375,10.625,10.125,10.625,10.625,23100
35,1996-02-05,10.625,11.875,10.5,11.75,11.75,45400
36,1996-02-06,11.875,12.875,11.875,12.875,12.875,81700
37,1996-02-07,12.625,12.875,12.0,12.125,12.125,82500
38,1996-02-08,12.0,12.125,11.875,12.0,12.0,64900
39,1996-02-09,12.0,12.125,12.0,12.125,12.125,15700
40,1996-02-12,12.25,12.75,12.125,12.5,12.5,17400
41,1996-02-13,12.375,12.375,12.0,12.375,12.375,15900
42,1996-02-14,12.625,12.625,12.0,12.0,12.0,27600
43,1996-02-15,12.25,12.25,12.0,12.0,12.0,13300
44,1996-02-16,12.0,12.25,11.5,11.875,11.875,20400
45,1996-02-20,12.0,12.25,11.5,11.5,11.5,38400
46,1996-02-21,11.625,11.625,11.25,11.5,11.5,12300
47,1996-02-22,11.5,11.875,11.375,11.75,11.75,12300
48,1996-02-23,11.625,11.625,11.5,11.5,11.5,12600
49,1996-02-26,11.875,11.875,11.625,11.75,11.75,5600
50,1996-02-27,11.875,12.375,11.875,12.375,12.375,15300
51,1996-02-28,12.625,13.0,12.25,12.25,12.25,18100
52,1996-02-29,12.25,12.25,11.75,12.25,12.25,42900
53,1996-03-01,12.5,12.5,12.125,12.125,12.125,4600
54,1996-03-04,12.375,12.625,12.25,12.5,12.5,15600
55,1996-03-05,12.375,12.375,12.375,12.375,12.375,2800
56,1996-03-06,12.375,12.375,12.25,12.25,12.25,3000
57,1996-03-07,12.375,12.5,12.25,12.5,12.5,1800
58,1996-03-08,12.5,12.5,12.125,12.125,12.125,16400
59,1996-03-11,12.125,12.125,11.5,11.625,11.625,21100
60,1996-03-12,11.875,12.0,11.75,12.0,12.0,4200
61,1996-03-13,12.25,12.25,12.125,12.125,12.125,1000
62,1996-03-14,12.0,12.125,11.5,11.75,11.75,6000
63,1996-03-15,12.0,13.25,11.875,12.875,12.875,36200
64,1996-03-18,13.0,13.75,13.0,13.5,13.5,21100
65,1996-03-19,13.5,13.75,13.25,13.5,13.5,24500
66,1996-03-20,13.375,13.5,13.375,13.5,13.5,9100
67,1996-03-21,13.375,13.5,13.25,13.25,13.25,8600
68,1996-03-22,13.25,13.5,13.25,13.5,13.5,5200
69,1996-03-25,13.25,13.25,12.75,12.75,12.75,15800
70,1996-03-26,12.75,12.875,12.5,12.875,12.875,4500
71,1996-03-27,12.75,12.875,12.625,12.875,12.875,4300
72,1996-03-28,12.75,12.75,12.75,12.75,12.75,800
73,1996-03-29,12.625,13.25,12.625,13.25,13.25,26200
74,1996-04-01,13.25,13.25,12.5,12.5,12.5,7500
75,1996-04-02,12.5,12.5,11.25,11.5,11.5,41400
76,1996-04-03,11.25,11.75,11.25,11.5,11.5,31700
77,1996-04-04,11.625,12.25,11.625,12.25,12.25,17800
78,1996-04-08,12.25,12.375,11.625,11.625,11.625,8400
79,1996-04-09,11.75,11.875,11.75,11.875,11.875,1700
80,1996-04-10,12.0,12.0,11.75,11.75,11.75,6800
81,1996-04-11,11.625,11.75,11.5,11.625,11.625,5200
82,1996-04-12,11.75,12.125,11.75,12.125,12.125,4800
83,1996-04-15,12.25,12.375,12.125,12.375,12.375,3800
84,1996-04-16,12.375,13.125,12.375,13.125,13.125,22800
85,1996-04-17,12.875,13.5,12.875,13.0,13.0,21500
86,1996-04-18,12.875,12.875,12.0,12.125,12.125,25700
87,1996-04-19,12.125,12.75,12.0,12.125,12.125,135900
88,1996-04-22,11.625,11.75,10.875,11.0,11.0,233200
89,1996-04-23,11.25,11.375,11.0,11.0,11.0,20800
90,1996-04-24,11.125,11.125,11.0,11.125,11.125,8200
91,1996-04-25,11.0,11.5,11.0,11.5,11.5,32500
92,1996-04-26,11.5,11.625,11.25,11.625,11.625,40100
93,1996-04-29,11.625,11.625,11.5,11.625,11.625,7600
94,1996-04-30,11.5,11.625,11.5,11.625,11.625,4500
95,1996-05-01,11.75,12.0,11.625,12.0,12.0,49400
96,1996-05-02,12.0,12.0,11.75,12.0,12.0,22100
97,1996-05-03,12.0,12.0,11.625,11.75,11.75,11600
98,1996-05-06,11.875,11.875,11.75,11.75,11.75,3300
99,1996-05-07,11.5,11.75,11.5,11.625,11.625,12000
100,1996-05-08,11.5,11.625,11.5,11.625,11.625,7500
101,1996-05-09,11.625,11.625,11.5,11.625,11.625,4700
102,1996-05-10,11.5,11.5,11.25,11.25,11.25,5200
103,1996-05-13,11.375,11.5,11.25,11.5,11.5,9800
104,1996-05-14,11.25,11.5,11.25,11.5,11.5,26300
105,1996-05-15,11.5,11.5,10.5,10.625,10.625,119700
106,1996-05-16,10.75,10.75,10.5,10.75,10.75,4800
107,1996-05-17,10.75,10.75,10.5,10.75,10.75,10700
108,1996-05-20,10.5,10.625,10.375,10.5,10.5,27500
109,1996-05-21,10.5,10.5,9.875,10.375,10.375,19200
110,1996-05-22,10.375,10.875,10.375,10.875,10.875,132800
111,1996-05-23,10.75,11.5,10.75,11.5,11.5,29100
112,1996-05-24,11.5,11.75,11.5,11.75,11.75,9000
113,1996-05-28,12.0,12.125,11.875,12.0,12.0,17600
114,1996-05-29,12.0,13.875,11.875,13.375,13.375,92100
115,1996-05-30,13.125,15.25,13.0,14.75,14.75,149300
116,1996-05-31,15.125,16.875,15.125,16.375,16.375,278600
117,1996-06-03,16.375,17.5,15.6875,16.375,16.375,271200
118,1996-06-04,16.125,17.375,16.125,17.0,17.0,145100
119,1996-06-05,17.125,19.5,17.125,19.125,19.125,218400
120,1996-06-06,19.375,19.5,17.875,18.0,18.0,133700
121,1996-06-07,17.375,19.0,16.375,19.0,19.0,125100
122,1996-06-10,19.125,19.125,18.25,18.375,18.375,37700
123,1996-06-11,18.25,18.875,18.25,18.375,18.375,46900
124,1996-06-12,18.125,18.25,17.0,17.25,17.25,48400
125,1996-06-13,17.0,17.125,16.375,16.875,16.875,72400
126,1996-06-14,16.875,16.875,16.375,16.625,16.625,33400
127,1996-06-17,16.375,16.375,15.875,16.0,16.0,15500
128,1996-06-18,15.75,15.75,14.25,14.5,14.5,45800
129,1996-06-19,14.25,14.25,13.25,13.875,13.875,45700
130,1996-06-20,14.125,15.0,14.0,14.875,14.875,17200
131,1996-06-21,14.75,14.75,14.25,14.25,14.25,8100
132,1996-06-24,14.25,15.375,14.0,15.375,15.375,25000
133,1996-06-25,15.375,15.375,14.75,14.75,14.75,15400
134,1996-06-26,14.875,15.125,14.125,14.125,14.125,19000
135,1996-06-27,14.125,14.5,14.0,14.5,14.5,20100
136,1996-06-28,14.75,15.25,14.625,15.25,15.25,29200
137,1996-07-01,15.0,15.0,14.25,14.625,14.625,9300
138,1996-07-02,14.625,14.625,14.5,14.625,14.625,19700
139,1996-07-03,14.625,14.625,14.0,14.375,14.375,13000
140,1996-07-05,14.0,14.0,13.75,13.75,13.75,6600
141,1996-07-08,13.625,13.75,13.125,13.125,13.125,14900
142,1996-07-09,13.0,13.0,12.125,12.375,12.375,29000
143,1996-07-10,12.5,12.625,12.0,12.0,12.0,13900
144,1996-07-11,11.75,11.75,10.625,10.75,10.75,34300
145,1996-07-12,10.75,11.875,10.75,11.125,11.125,63500
146,1996-07-15,11.25,11.25,10.0,10.25,10.25,27500
147,1996-07-16,10.25,10.375,8.5,9.75,9.75,78900
148,1996-07-17,9.875,10.625,9.875,10.375,10.375,82000
149,1996-07-18,10.25,11.125,10.25,11.125,11.125,46700
150,1996-07-19,11.25,11.75,11.125,11.625,11.625,13600
151,1996-07-22,11.375,11.5,11.0,11.125,11.125,14900
152,1996-07-23,11.125,11.125,10.375,10.375,10.375,19600
153,1996-07-24,10.125,10.125,9.625,9.625,9.625,14300
154,1996-07-25,9.875,10.0,9.875,9.875,9.875,13400
155,1996-07-26,10.125,10.125,9.5,9.5625,9.5625,22500
156,1996-07-29,9.5625,9.5625,9.375,9.375,9.375,5400
157,1996-07-30,9.125,10.125,9.125,10.125,10.125,43100
158,1996-07-31,10.375,11.0,10.125,11.0,11.0,48600
159,1996-08-01,11.0,11.0,10.625,10.625,10.625,3800
160,1996-08-02,10.5,10.5,10.25,10.25,10.25,60200
161,1996-08-05,10.375,10.375,10.375,10.375,10.375,400
162,1996-08-06,10.5,10.5,10.0,10.25,10.25,16800
163,1996-08-07,10.5,10.5,10.125,10.125,10.125,7500
164,1996-08-08,10.0,10.25,10.0,10.25,10.25,1100
165,1996-08-09,10.0,10.0,10.0,10.0,10.0,3000
166,1996-08-12,10.125,10.125,9.625,9.75,9.75,14700
167,1996-08-13,9.875,10.125,9.75,9.75,9.75,18500
168,1996-08-14,10.0,10.375,9.125,9.625,9.625,41300
169,1996-08-15,9.625,10.0,9.5,10.0,10.0,14300
170,1996-08-16,10.25,10.375,10.125,10.375,10.375,19900
171,1996-08-19,10.5,10.625,10.0,10.375,10.375,21600
172,1996-08-20,10.0,10.0,9.5,9.625,9.625,25200
173,1996-08-21,9.625,9.625,9.5,9.625,9.625,27000
174,1996-08-22,9.625,9.875,9.5625,9.875,9.875,16800
175,1996-08-23,9.875,10.0,9.625,9.875,9.875,14600
176,1996-08-26,9.75,9.75,9.25,9.25,9.25,23500
177,1996-08-27,9.125,9.375,9.125,9.375,9.375,8000
178,1996-08-28,9.375,9.5,9.25,9.3125,9.3125,6400
179,1996-08-29,9.3125,9.375,9.0,9.0625,9.0625,52100
180,1996-08-30,9.0625,9.0625,8.75,8.8125,8.8125,20100
181,1996-09-03,8.8125,8.8125,8.25,8.25,8.25,43400
182,1996-09-04,8.0,8.1875,7.75,8.125,8.125,56500
183,1996-09-05,8.25,8.25,8.125,8.25,8.25,15000
184,1996-09-06,8.375,8.4375,8.375,8.375,8.375,4400
185,1996-09-09,8.5,8.625,8.5,8.625,8.625,14200
186,1996-09-10,8.75,8.75,8.625,8.75,8.75,13600
187,1996-09-11,8.625,8.625,8.0,8.25,8.25,30200
188,1996-09-12,8.25,8.5,7.75,8.3125,8.3125,57100
189,1996-09-13,8.375,8.625,8.125,8.625,8.625,33400
190,1996-09-16,8.75,9.0,8.75,9.0,9.0,30200
191,1996-09-17,9.0,9.5,9.0,9.3125,9.3125,42700
192,1996-09-18,9.375,9.5,8.875,8.875,8.875,12500
193,1996-09-19,8.75,8.875,8.4375,8.875,8.875,12200
194,1996-09-20,9.0,9.25,9.0,9.125,9.125,30900
195,1996-09-23,9.125,9.375,9.125,9.1875,9.1875,8500
196,1996-09-24,9.25,9.625,9.125,9.25,9.25,26500
197,1996-09-25,9.375,9.375,8.875,9.125,9.125,46700
198,1996-09-26,9.0,9.375,9.0,9.25,9.25,34800
199,1996-09-27,9.125,9.125,9.0,9.0,9.0,6700
200,1996-09-30,9.25,9.375,9.125,9.25,9.25,25100
201,1996-10-01,9.5,9.625,9.25,9.4375,9.4375,30400
202,1996-10-02,9.25,9.25,9.0,9.25,9.25,19500
203,1996-10-03,9.375,9.375,9.0,9.0,9.0,40300
204,1996-10-04,9.125,9.25,8.625,8.625,8.625,16800
205,1996-10-07,8.625,8.625,8.625,8.625,8.625,3000
206,1996-10-08,8.5,8.625,8.5,8.625,8.625,8100
207,1996-10-09,8.5,8.75,8.5,8.75,8.75,2200
208,1996-10-10,8.5,8.5,8.5,8.5,8.5,6300
209,1996-10-11,8.375,8.75,8.375,8.75,8.75,15200
210,1996-10-14,8.875,8.875,8.875,8.875,8.875,2500
211,1996-10-15,8.75,8.875,8.75,8.75,8.75,2000
212,1996-10-16,8.5,8.75,8.375,8.625,8.625,12100
213,1996-10-17,8.5,8.875,8.5,8.75,8.75,12900
214,1996-10-18,8.75,8.75,8.625,8.75,8.75,2200
215,1996-10-21,8.75,9.0,8.75,9.0,9.0,7100
216,1996-10-22,8.875,8.875,8.75,8.8125,8.8125,18600
217,1996-10-23,8.625,8.75,8.5,8.75,8.75,8600
218,1996-10-24,8.625,8.625,8.375,8.375,8.375,7600
219,1996-10-25,8.375,8.875,8.375,8.6875,8.6875,26000
220,1996-10-28,8.875,9.0,8.875,9.0,9.0,10300
221,1996-10-29,9.0,9.625,8.9375,9.625,9.625,31300
222,1996-10-30,9.75,10.875,9.75,10.25,10.25,62300
223,1996-10-31,10.375,10.5,10.125,10.375,10.375,15000
224,1996-11-01,10.25,10.375,10.0,10.0,10.0,15500
225,1996-11-04,10.125,10.125,10.0,10.125,10.125,5000
226,1996-11-05,9.875,9.9375,9.6875,9.6875,9.6875,5700
227,1996-11-06,9.625,9.625,9.625,9.625,9.625,2700
228,1996-11-07,9.375,9.375,9.25,9.25,9.25,8000
229,1996-11-08,9.25,9.25,8.75,8.75,8.75,16400
230,1996-11-11,8.875,8.875,8.875,8.875,8.875,3800
231,1996-11-12,8.75,8.75,8.25,8.25,8.25,8000
232,1996-11-13,8.375,8.625,8.375,8.625,8.625,8200
233,1996-11-14,8.875,10.5,8.625,10.25,10.25,48300
234,1996-11-15,10.5,10.5,9.375,10.0,10.0,62500
235,1996-11-18,10.125,10.375,10.0,10.0,10.0,25900
236,1996-11-19,10.0,10.25,9.75,9.8125,9.8125,21600
237,1996-11-20,10.0,10.0,9.625,9.625,9.625,3100
238,1996-11-21,9.875,9.875,9.3125,9.3125,9.3125,8700
239,1996-11-22,9.25,9.5,9.125,9.375,9.375,7300
240,1996-11-25,9.375,9.5,9.125,9.5,9.5,9900
241,1996-11-26,9.75,9.875,9.5,9.625,9.625,5700
242,1996-11-27,9.875,10.25,9.875,10.125,10.125,9700
243,1996-11-29,10.0,10.0,10.0,10.0,10.0,3500
244,1996-12-02,9.875,9.875,9.625,9.625,9.625,16200
245,1996-12-03,9.875,10.125,9.875,9.875,9.875,9500
246,1996-12-04,9.75,9.75,9.75,9.75,9.75,600
247,1996-12-05,9.5,9.5,9.0,9.5,9.5,19100
248,1996-12-06,9.5,9.9375,9.25,9.5,9.5,15800
249,1996-12-09,9.25,9.5,9.125,9.25,9.25,9400
250,1996-12-10,9.5,9.5,9.25,9.25,9.25,6700
251,1996-12-11,9.25,9.25,9.25,9.25,9.25,700
252,1996-12-12,9.375,9.5,9.0,9.25,9.25,14100
253,1996-12-13,9.25,9.25,9.0,9.0,9.0,9900
254,1996-12-16,9.125,9.125,9.0,9.125,9.125,14800
255,1996-12-17,9.0625,9.0625,9.0625,9.0625,9.0625,400
256,1996-12-18,9.125,9.125,8.875,8.875,8.875,8000
257,1996-12-19,9.0,9.0,8.5,8.625,8.625,32500
258,1996-12-20,8.5,8.5625,8.3125,8.3125,8.3125,16800
259,1996-12-23,8.5,8.5,8.125,8.125,8.125,12100
260,1996-12-24,8.375,8.375,8.25,8.375,8.375,6400
261,1996-12-26,8.375,8.75,8.3125,8.75,8.75,9000
262,1996-12-27,8.75,9.0,8.75,8.875,8.875,10600
263,1996-12-30,8.875,8.875,8.25,8.5,8.5,17600
264,1996-12-31,8.5,8.875,8.125,8.75,8.75,40900
265,1997-01-02,8.75,8.75,8.75,8.75,8.75,0
266,1997-01-03,8.75,9.25,8.75,9.25,9.25,8400
267,1997-01-06,9.125,9.5,9.0,9.25,9.25,14400
268,1997-01-07,9.0,9.125,9.0,9.0,9.0,1000
269,1997-01-08,9.375,9.5,9.375,9.375,9.375,6800
270,1997-01-09,9.5,9.5,9.375,9.375,9.375,1100
271,1997-01-10,9.375,9.375,9.25,9.25,9.25,2700
272,1997-01-13,9.125,9.25,9.125,9.25,9.25,1100
273,1997-01-14,9.375,9.375,9.125,9.125,9.125,4000
274,1997-01-15,9.125,9.125,9.125,9.125,9.125,11900
275,1997-01-16,9.125,9.125,9.0,9.0,9.0,3900
276,1997-01-17,9.0,9.0,8.875,8.875,8.875,2700
277,1997-01-20,8.875,8.875,8.875,8.875,8.875,600
278,1997-01-21,8.875,9.0,8.875,8.875,8.875,3400
279,1997-01-22,8.75,8.75,8.75,8.75,8.75,31100
280,1997-01-23,9.0,9.0,8.625,8.625,8.625,15600
281,1997-01-24,8.625,8.625,8.625,8.625,8.625,1700
282,1997-01-27,8.75,8.875,8.625,8.875,8.875,2300
283,1997-01-28,9.0,9.0,8.875,8.875,8.875,1500
284,1997-01-29,8.75,8.75,8.75,8.75,8.75,3700
285,1997-01-30,8.625,8.75,8.625,8.75,8.75,1600
286,1997-01-31,8.625,8.75,8.625,8.625,8.625,2500
287,1997-02-03,8.75,8.875,8.75,8.875,8.875,30600
288,1997-02-04,8.75,9.25,8.75,9.125,9.125,25900
289,1997-02-05,9.125,9.125,9.0625,9.0625,9.0625,2900
290,1997-02-06,9.0625,9.0625,9.0625,9.0625,9.0625,1700
291,1997-02-07,8.875,9.125,8.875,9.0,9.0,8800
292,1997-02-10,9.125,9.125,9.0,9.0625,9.0625,5500
293,1997-02-11,9.0,9.0,8.875,8.875,8.875,10800
294,1997-02-12,9.0,9.0,9.0,9.0,9.0,2600
295,1997-02-13,9.125,9.125,9.0,9.0,9.0,8400
296,1997-02-14,8.875,9.0,8.875,9.0,9.0,3000
297,1997-02-18,9.125,9.125,9.0,9.0,9.0,4600
298,1997-02-19,8.875,8.9375,8.75,8.75,8.75,4700
299,1997-02-20,8.75,8.875,8.75,8.875,8.875,2100
300,1997-02-21,8.875,9.0,8.875,9.0,9.0,14000
301,1997-02-24,9.0,9.0,8.875,8.875,8.875,6000
302,1997-02-25,8.875,9.0,8.875,9.0,9.0,6600
303,1997-02-26,9.0,9.0,9.0,9.0,9.0,3000
304,1997-02-27,8.875,8.875,8.875,8.875,8.875,200
305,1997-02-28,9.0,9.0,8.75,8.75,8.75,46000
306,1997-03-03,8.625,8.875,8.625,8.875,8.875,11700
307,1997-03-04,8.875,9.0,8.625,8.875,8.875,24500
308,1997-03-05,8.75,8.75,8.3125,8.3125,8.3125,10400
309,1997-03-06,8.1875,8.5,8.1875,8.3125,8.3125,7700
310,1997-03-07,8.4375,8.5625,8.4375,8.5625,8.5625,1100
311,1997-03-10,8.5,8.625,8.5,8.5,8.5,3000
312,1997-03-11,8.5,9.0,8.5,9.0,9.0,37000
313,1997-03-12,9.0,9.0,8.75,8.75,8.75,8400
314,1997-03-13,8.875,9.0,8.75,9.0,9.0,3300
