,Date,Open,High,Low,Close,Adj Close,Volume
0,1990-01-02,7.5,7.875,7.5,7.5,5.817164897918701,4200
1,1990-01-03,7.5,7.875,7.125,7.875,6.108022689819336,7900
2,1990-01-04,7.875,7.875,7.5,7.875,6.108022689819336,1000
3,1990-01-05,7.875,8.25,7.5,8.25,6.398880958557129,7300
4,1990-01-08,8.25,8.625,7.875,7.875,6.108022689819336,1300
5,1990-01-09,8.25,8.625,8.25,8.625,6.689739227294922,4800
6,1990-01-10,8.25,8.25,8.25,8.25,6.398880958557129,700
7,1990-01-11,8.25,8.25,7.875,7.875,6.108022689819336,800
8,1990-01-12,7.875,8.25,7.125,7.125,5.526306629180908,11100
9,1990-01-15,7.875,7.875,7.875,7.875,6.108022689819336,500
10,1990-01-16,7.875,7.875,7.5,7.875,6.108022689819336,600
11,1990-01-17,7.875,7.875,7.125,7.875,6.108022689819336,1300
12,1990-01-18,7.5,7.5,7.125,7.5,5.817164897918701,700
13,1990-01-19,7.5,8.25,7.125,8.25,6.398880958557129,3300
14,1990-01-22,8.25,8.625,7.875,8.625,6.689739227294922,2900
15,1990-01-23,8.25,8.25,7.875,7.875,6.108022689819336,5400
16,1990-01-24,7.875,9.0,7.875,9.0,6.980597972869873,34000
17,1990-01-25,8.625,8.625,8.25,8.25,6.398880958557129,1200
18,1990-01-26,8.25,9.0,8.25,9.0,6.980597972869873,2800
19,1990-01-29,8.25,8.25,8.25,8.25,6.398880958557129,500
20,1990-01-30,8.25,8.625,8.25,8.25,6.398880958557129,9200
21,1990-01-31,7.875,7.875,7.875,7.875,6.108022689819336,900
22,1990-02-01,7.875,8.25,7.5,7.5,5.817164897918701,200
23,1990-02-02,7.5,7.5,7.5,7.5,5.817164897918701,200
24,1990-02-05,7.5,8.25,7.5,7.875,6.108022689819336,2700
25,1990-02-06,7.875,8.25,7.5,7.5,5.817164897918701,2800
26,1990-02-07,7.5,7.875,7.5,7.875,6.108022689819336,4200
27,1990-02-08,7.875,7.875,7.5,7.5,5.817164897918701,2700
28,1990-02-09,7.5,7.875,7.5,7.5,5.817164897918701,2600
29,1990-02-12,7.5,8.25,7.5,7.5,5.817164897918701,1000
30,1990-02-13,7.5,8.25,7.5,8.25,6.398880958557129,1300
31,1990-02-14,8.25,8.25,7.5,7.5,5.817164897918701,1100
32,1990-02-15,7.5,8.25,7.5,7.5,5.817164897918701,2200
33,1990-02-16,7.875,7.875,7.875,7.875,6.108022689819336,1100
34,1990-02-20,7.875,7.875,7.125,7.875,6.108022689819336,4500
35,1990-02-21,7.875,7.875,7.125,7.5,5.817164897918701,7600
36,1990-02-22,7.5,7.875,7.125,7.5,5.817164897918701,800
