,Date,Open,High,Low,Close,Adj Close,Volume
0,1997-02-21,39.0,51.0,39.0,45.75,45.75,8100
1,1997-02-24,41.25,49.5,39.0,46.5,46.5,14100
2,1997-02-25,49.5,49.5,42.0,48.0,48.0,8800
3,1997-02-26,51.0,51.0,43.5,48.75,48.75,2000
4,1997-02-27,48.0,51.75,44.25,50.25,50.25,3500
5,1997-02-28,51.0,51.0,43.5,49.5,49.5,1200
6,1997-03-03,49.5,51.0,42.75,51.0,51.0,800
7,1997-03-04,51.0,51.0,42.75,50.25,50.25,2600
8,1997-03-05,49.5,49.5,42.0,45.0,45.0,3700
9,1997-03-06,44.4375,45.75,43.5,45.0,45.0,2500
10,1997-03-07,47.25,47.25,43.5,47.25,47.25,2600
11,1997-03-10,43.5,50.25,42.75,50.25,50.25,1100
12,1997-03-11,42.75,45.375,42.75,45.0,45.0,1200
13,1997-03-12,45.375,48.0,42.75,45.75,45.75,2500
14,1997-03-13,45.0,46.5,42.75,42.75,42.75,2700
15,1997-03-14,48.0,48.0,42.75,45.0,45.0,1400
16,1997-03-17,44.8125,45.0,42.75,44.8125,44.8125,700
17,1997-03-18,44.8125,47.625,42.75,44.25,44.25,700
18,1997-03-19,42.75,45.75,42.75,42.75,42.75,3400
19,1997-03-20,44.8125,45.75,42.75,45.75,45.75,2100
20,1997-03-21,43.5,47.25,42.75,46.5,46.5,3100
21,1997-03-24,46.5,46.5,46.5,46.5,46.5,0
22,1997-03-25,43.5,47.25,43.5,44.25,44.25,1600
23,1997-03-26,48.75,49.5,44.25,49.5,49.5,3200
24,1997-03-27,47.25,51.0,44.25,47.25,47.25,1200
25,1997-03-31,48.0,51.0,46.3125,46.3125,46.3125,400
26,1997-04-01,45.0,51.0,45.0,49.5,49.5,600
27,1997-04-02,51.0,55.5,46.5,55.5,55.5,2900
28,1997-04-03,47.25,56.25,47.25,56.25,56.25,1700
29,1997-04-04,55.5,57.75,50.25,52.5,52.5,1400
30,1997-04-07,52.5,58.5,52.5,56.25,56.25,1400
31,1997-04-08,57.0,58.125,51.0,51.0,51.0,1400
32,1997-04-09,59.25,59.25,51.75,57.0,57.0,1900
33,1997-04-10,59.25,62.25,54.75,60.0,60.0,900
34,1997-04-11,57.0,62.25,54.75,60.0,60.0,3300
35,1997-04-14,62.25,62.625,55.5,62.625,62.625,2200
36,1997-04-15,57.0,66.0,55.6875,63.0,63.0,4300
37,1997-04-16,63.0,66.0,55.5,57.0,57.0,1600
38,1997-04-17,65.625,68.25,57.0,58.5,58.5,2600
39,1997-04-18,63.0,69.0,57.0,68.25,68.25,3100
40,1997-04-21,61.5,70.5,58.5,66.0,66.0,2700
41,1997-04-22,70.5,70.5,63.0,67.5,67.5,1600
42,1997-04-23,70.5,70.5,63.0,64.5,64.5,2000
43,1997-04-24,70.5,70.5,63.0,70.5,70.5,4200
44,1997-04-25,65.25,70.5,63.0,63.0,63.0,3500
45,1997-04-28,63.75,69.0,63.0,63.75,63.75,1700
46,1997-04-29,65.25,70.5,63.0,67.5,67.5,1400
47,1997-04-30,69.75,70.5,64.5,67.5,67.5,3500
48,1997-05-01,70.5,70.5,63.0,64.96875,64.96875,900
49,1997-05-02,63.0,68.53125,63.0,68.25,68.25,600
50,1997-05-05,68.25,69.0,63.0,67.5,67.5,900
51,1997-05-06,66.75,66.75,63.75,66.75,66.75,1800
52,1997-05-07,69.0,69.0,63.75,68.25,68.25,700
53,1997-05-08,64.5,68.25,64.5,64.5,64.5,500
54,1997-05-09,66.0,69.0,64.5,64.5,64.5,1600
55,1997-05-12,67.5,68.25,65.25,65.25,65.25,400
56,1997-05-13,67.5,68.25,63.0,63.0,63.0,2200
57,1997-05-14,63.0,65.25,63.0,64.03125,64.03125,2600
58,1997-05-15,63.0,66.75,63.0,64.78125,64.78125,1300
59,1997-05-16,67.5,67.5,63.75,63.75,63.75,900
60,1997-05-19,63.75,66.75,63.75,63.75,63.75,300
61,1997-05-20,63.75,66.0,63.75,63.75,63.75,500
62,1997-05-21,63.75,65.25,63.75,63.75,63.75,1000
63,1997-05-22,66.75,67.5,66.75,67.5,67.5,100
64,1997-05-23,66.0,66.75,63.75,63.75,63.75,900
65,1997-05-27,75.0,75.0,63.75,66.75,66.75,2800
66,1997-05-28,67.5,67.5,65.25,67.5,67.5,1500
67,1997-05-29,63.75,69.0,63.75,69.0,69.0,3300
68,1997-05-30,64.5,67.5,64.5,64.5,64.5,1800
69,1997-06-02,64.5,67.5,63.0,64.5,64.5,700
70,1997-06-03,64.5,64.5,63.0,63.0,63.0,1100
71,1997-06-04,63.0,66.0,61.5,66.0,66.0,2000
72,1997-06-05,61.5,61.5,61.5,61.5,61.5,100
73,1997-06-06,64.5,64.5,63.0,64.5,64.5,200
74,1997-06-09,64.5,64.5,64.5,64.5,64.5,0
75,1997-06-10,61.5,64.5,61.5,64.5,64.5,1800
76,1997-06-11,66.0,66.0,61.5,64.5,64.5,1300
77,1997-06-12,61.5,61.5,61.5,61.5,61.5,500
78,1997-06-13,61.5,66.0,61.5,64.5,64.5,400
79,1997-06-16,65.625,65.625,61.5,61.5,61.5,300
