,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-04-02,760.0,810.0,600.0,660.0,660.0,16400
1,1996-04-03,690.0,700.0,600.0,670.0,670.0,4800
2,1996-04-04,600.0,670.0,600.0,600.0,600.0,1200
3,1996-04-08,670.0,670.0,600.0,610.0,610.0,900
4,1996-04-09,600.0,660.0,600.0,600.0,600.0,1500
5,1996-04-10,600.0,660.0,600.0,615.0,615.0,1400
6,1996-04-11,620.0,630.0,600.0,600.0,600.0,700
7,1996-04-12,600.0,630.0,600.0,620.0,620.0,600
8,1996-04-15,600.0,630.0,600.0,605.0,605.0,500
9,1996-04-16,630.0,630.0,600.0,600.0,600.0,400
10,1996-04-17,600.0,640.0,600.0,600.0,600.0,700
11,1996-04-18,600.0,640.0,600.0,620.0,620.0,200
12,1996-04-19,600.0,640.0,600.0,605.0,605.0,500
13,1996-04-22,600.0,640.0,600.0,600.0,600.0,700
14,1996-04-23,600.0,640.0,600.0,605.0,605.0,600
15,1996-04-24,600.0,640.0,600.0,600.0,600.0,700
16,1996-04-25,640.0,640.0,600.0,600.0,600.0,800
17,1996-04-26,600.0,640.0,600.0,600.0,600.0,400
18,1996-04-29,600.0,640.0,600.0,640.0,640.0,200
19,1996-04-30,600.0,640.0,600.0,620.0,620.0,500
20,1996-05-01,600.0,620.0,600.0,620.0,620.0,500
21,1996-05-02,600.0,640.0,600.0,600.0,600.0,800
22,1996-05-03,600.0,640.0,600.0,600.0,600.0,1800
23,1996-05-06,640.0,640.0,600.0,600.0,600.0,100
24,1996-05-07,605.0,640.0,600.0,640.0,640.0,400
25,1996-05-08,600.0,640.0,600.0,600.0,600.0,500
26,1996-05-09,640.0,640.0,600.0,640.0,640.0,800
27,1996-05-10,600.0,640.0,600.0,600.0,600.0,600
28,1996-05-13,600.0,640.0,600.0,600.0,600.0,900
29,1996-05-14,600.0,640.0,600.0,600.0,600.0,900
30,1996-05-15,540.0,650.0,540.0,620.0,620.0,500
31,1996-05-16,580.0,630.0,560.0,610.0,610.0,800
32,1996-05-17,580.0,640.0,580.0,580.0,580.0,900
33,1996-05-20,640.0,640.0,580.0,640.0,640.0,200
34,1996-05-21,640.0,640.0,580.0,590.0,590.0,600
35,1996-05-22,580.0,630.0,580.0,580.0,580.0,700
36,1996-05-23,620.0,620.0,580.0,620.0,620.0,2400
37,1996-05-24,580.0,640.0,580.0,640.0,640.0,900
38,1996-05-28,580.0,620.0,560.0,560.0,560.0,1000
39,1996-05-29,620.0,620.0,550.0,610.0,610.0,800
40,1996-05-30,550.0,610.0,550.0,560.0,560.0,200
41,1996-05-31,550.0,560.0,540.0,550.0,550.0,200
42,1996-06-03,560.0,560.0,540.0,540.0,540.0,300
43,1996-06-04,540.0,560.0,540.0,545.0,545.0,300
44,1996-06-05,540.0,560.0,520.0,520.0,520.0,300
45,1996-06-06,520.0,560.0,520.0,522.5,522.5,300
46,1996-06-07,530.0,560.0,480.0,480.0,480.0,2700
47,1996-06-10,520.0,520.0,520.0,520.0,520.0,100
48,1996-06-11,560.0,560.0,520.0,540.0,540.0,400
49,1996-06-12,520.0,560.0,520.0,520.0,520.0,300
50,1996-06-13,520.0,520.0,520.0,520.0,520.0,700
51,1996-06-14,555.0,560.0,510.0,520.0,520.0,300
52,1996-06-17,520.0,560.0,520.0,520.0,520.0,200
53,1996-06-18,520.0,550.0,480.0,500.0,500.0,600
54,1996-06-19,510.0,580.0,510.0,575.0,575.0,1100
55,1996-06-20,560.0,600.0,560.0,580.0,580.0,1000
56,1996-06-21,600.0,730.0,580.0,660.0,660.0,2100
57,1996-06-24,640.0,760.0,640.0,705.0,705.0,1700
58,1996-06-25,700.0,760.0,680.0,710.0,710.0,5300
59,1996-06-26,680.0,710.0,660.0,660.0,660.0,600
60,1996-06-27,660.0,700.0,640.0,640.0,640.0,500
61,1996-06-28,680.0,680.0,640.0,660.0,660.0,500
62,1996-07-01,640.0,680.0,640.0,640.0,640.0,400
63,1996-07-02,640.0,680.0,600.0,610.0,610.0,800
64,1996-07-03,600.0,640.0,600.0,630.0,630.0,100
65,1996-07-05,600.0,600.0,590.0,590.0,590.0,100
66,1996-07-08,620.0,620.0,560.0,560.0,560.0,500
67,1996-07-09,560.0,630.0,560.0,630.0,630.0,100
68,1996-07-10,560.0,630.0,560.0,630.0,630.0,200
69,1996-07-11,630.0,630.0,560.0,560.0,560.0,200
70,1996-07-12,560.0,630.0,560.0,630.0,630.0,100
71,1996-07-15,560.0,620.0,550.0,570.0,570.0,100
72,1996-07-16,620.0,620.0,530.0,530.0,530.0,300
73,1996-07-17,530.0,620.0,530.0,620.0,620.0,100
74,1996-07-18,530.0,620.0,530.0,610.0,610.0,200
75,1996-07-19,620.0,620.0,530.0,620.0,620.0,300
76,1996-07-22,530.0,620.0,530.0,570.0,570.0,700
77,1996-07-23,620.0,620.0,550.0,600.0,600.0,1100
78,1996-07-24,530.0,600.0,530.0,560.0,560.0,400
79,1996-07-25,540.0,580.0,530.0,560.0,560.0,600
80,1996-07-26,530.0,560.0,530.0,560.0,560.0,400
81,1996-07-29,530.0,530.0,530.0,530.0,530.0,0
82,1996-07-30,530.0,560.0,530.0,530.0,530.0,100
83,1996-07-31,530.0,540.0,520.0,540.0,540.0,100
84,1996-08-01,520.0,540.0,520.0,520.0,520.0,300
85,1996-08-02,520.0,540.0,520.0,520.0,520.0,100
86,1996-08-05,520.0,540.0,520.0,520.0,520.0,400
87,1996-08-06,520.0,540.0,520.0,540.0,540.0,100
88,1996-08-07,520.0,540.0,520.0,540.0,540.0,200
89,1996-08-08,520.0,540.0,520.0,540.0,540.0,700
90,1996-08-09,510.0,540.0,500.0,500.0,500.0,400
91,1996-08-12,500.0,540.0,500.0,540.0,540.0,100
92,1996-08-13,520.0,590.0,520.0,540.0,540.0,0
93,1996-08-14,550.0,590.0,550.0,550.0,550.0,400
94,1996-08-15,590.0,590.0,550.0,590.0,590.0,100
