,Date,Open,High,Low,Close,Adj Close,Volume
0,1997-07-02,6.875,7.375,6.625,7.125,7.125,1113500
1,1997-07-03,7.25,7.5,6.9375,6.9375,6.9375,187600
2,1997-07-07,7.0,7.0,6.375,6.625,6.625,342200
3,1997-07-08,6.625,7.0,6.5,6.75,6.75,99200
4,1997-07-09,7.0,8.0,6.75,7.75,7.75,605000
5,1997-07-10,8.125,8.875,8.125,8.75,8.75,369400
6,1997-07-11,9.125,9.875,9.0,9.125,9.125,353500
7,1997-07-14,9.125,10.0,9.0,9.5,9.5,329000
8,1997-07-15,9.75,9.875,9.4375,9.875,9.875,243900
9,1997-07-16,9.875,11.5,9.8125,11.125,11.125,456500
10,1997-07-17,11.25,11.625,11.0,11.125,11.125,435500
11,1997-07-18,11.375,11.375,10.0,10.5,10.5,298200
12,1997-07-21,10.375,10.375,9.625,10.0,10.0,193900
13,1997-07-22,10.0,10.25,9.75,10.25,10.25,72900
14,1997-07-23,10.375,10.625,10.25,10.625,10.625,56700
15,1997-07-24,10.625,11.125,10.125,10.875,10.875,80800
16,1997-07-25,11.125,11.625,10.875,11.25,11.25,143100
17,1997-07-28,11.875,12.25,10.5,10.625,10.625,342300
18,1997-07-29,10.75,10.75,10.0,10.25,10.25,115000
19,1997-07-30,10.375,10.375,9.5,9.75,9.75,125600
20,1997-07-31,9.75,9.75,8.875,9.375,9.375,160300
21,1997-08-01,9.375,9.375,8.5,9.125,9.125,57600
22,1997-08-04,9.125,10.125,8.875,9.5,9.5,124900
23,1997-08-05,9.625,10.125,9.625,9.875,9.875,108800
24,1997-08-06,10.0,10.25,9.625,9.875,9.875,125800
25,1997-08-07,9.875,10.0,9.5,9.75,9.75,72100
26,1997-08-08,9.75,9.875,9.5,9.75,9.75,50500
27,1997-08-11,9.75,9.875,9.25,9.5,9.5,71100
28,1997-08-12,9.5,9.5,9.0,9.125,9.125,156300
29,1997-08-13,8.875,9.125,8.875,9.125,9.125,96600
30,1997-08-14,9.125,9.125,8.9375,9.0,9.0,91200
31,1997-08-15,9.0,9.125,8.9375,9.0,9.0,82600
32,1997-08-18,9.125,9.125,9.0,9.125,9.125,39300
33,1997-08-19,9.125,9.125,8.875,9.0,9.0,60100
34,1997-08-20,8.9375,9.3125,8.9375,9.25,9.25,54000
35,1997-08-21,9.375,9.375,9.125,9.125,9.125,19100
36,1997-08-22,9.0,9.125,8.625,9.125,9.125,39600
37,1997-08-25,9.125,9.375,8.75,9.375,9.375,28000
38,1997-08-26,9.375,9.375,8.75,8.75,8.75,16900
39,1997-08-27,9.1875,9.1875,8.75,8.875,8.875,13200
40,1997-08-28,9.0,9.1875,8.875,8.9375,8.9375,20500
41,1997-08-29,9.1875,10.625,9.125,10.375,10.375,116200
42,1997-09-02,10.5,11.375,10.5,10.9375,10.9375,75700
43,1997-09-03,11.125,11.125,10.0,10.125,10.125,87000
44,1997-09-04,10.375,10.375,9.125,9.625,9.625,39600
45,1997-09-05,9.625,10.0,8.875,9.5,9.5,167700
46,1997-09-08,9.625,10.0,9.5,9.75,9.75,69200
47,1997-09-09,10.0,10.0,9.625,9.75,9.75,10100
48,1997-09-10,10.0,10.375,9.875,10.25,10.25,39600
49,1997-09-11,10.25,10.25,9.75,10.0,10.0,21100
50,1997-09-12,10.125,10.125,9.875,9.9375,9.9375,54100
51,1997-09-15,10.125,10.125,9.875,9.890625,9.890625,35500
52,1997-09-16,9.9375,10.0,9.5625,9.5625,9.5625,22700
53,1997-09-17,9.59375,10.5,9.5625,10.484375,10.484375,134400
54,1997-09-18,10.5,10.625,10.0625,10.0625,10.0625,116100
55,1997-09-19,10.0,10.25,9.625,9.625,9.625,45300
56,1997-09-22,9.75,10.125,9.4375,10.125,10.125,155400
57,1997-09-23,10.125,11.25,10.125,10.875,10.875,390000
58,1997-09-24,11.0,11.125,10.875,11.0625,11.0625,352000
59,1997-09-25,11.125,11.125,10.875,11.0,11.0,255800
60,1997-09-26,11.25,11.625,10.875,11.0,11.0,91200
61,1997-09-29,11.25,12.375,11.0,11.8125,11.8125,166200
62,1997-09-30,12.25,13.0,11.25,11.625,11.625,258800
63,1997-10-01,11.625,12.25,11.625,12.0,12.0,198800
64,1997-10-02,12.125,12.25,11.8125,11.9375,11.9375,75500
65,1997-10-03,12.0,12.0,11.5,11.75,11.75,121000
66,1997-10-06,11.5625,11.8125,11.375,11.5,11.5,110100
67,1997-10-07,11.5625,12.0,11.5,11.875,11.875,160200
68,1997-10-08,11.875,11.875,11.625,11.875,11.875,65900
69,1997-10-09,11.875,11.875,11.5,11.625,11.625,78800
70,1997-10-10,11.5,11.625,11.0,11.0,11.0,39300
71,1997-10-13,10.9375,12.0,10.875,11.875,11.875,99300
72,1997-10-14,12.0,12.25,11.625,11.625,11.625,94500
73,1997-10-15,11.875,11.875,11.5,11.625,11.625,31100
74,1997-10-16,11.5625,12.0,11.5625,11.75,11.75,141100
75,1997-10-17,11.875,11.875,11.25,11.25,11.25,68500
76,1997-10-20,11.625,11.875,11.125,11.875,11.875,86600
77,1997-10-21,11.875,16.0,11.875,16.0,16.0,694400
78,1997-10-22,16.125,16.125,13.0,13.75,13.75,799400
79,1997-10-23,13.0,16.0,12.75,15.3125,15.3125,1463500
80,1997-10-24,15.5625,15.5625,13.875,14.0,14.0,1028900
81,1997-10-27,14.5,14.625,12.5,12.5625,12.5625,1209800
82,1997-10-28,11.375,14.375,10.75,14.0,14.0,1145100
83,1997-10-29,14.25,15.25,13.625,14.125,14.125,1160700
