,Date,Open,High,Low,Close,Adj Close,Volume
0,1999-02-12,19.0,25.5,14.0,20.46875,20.46875,4515400
1,1999-02-16,25.625,25.625,21.125,23.125,23.125,1998900
2,1999-02-17,23.375,23.375,20.5,21.0,21.0,586000
3,1999-02-18,21.25,21.5,19.0,19.875,19.875,514800
4,1999-02-19,19.875,20.5,19.375,19.6875,19.6875,183100
5,1999-02-22,20.0,22.0,19.5,20.75,20.75,222600
6,1999-02-23,21.375,22.0,20.5625,21.625,21.625,196900
7,1999-02-24,22.125,23.125,21.625,21.625,21.625,239900
8,1999-02-25,21.625,21.75,19.75,21.0,21.0,191900
9,1999-02-26,22.0,23.0,20.625,21.0,21.0,239800
10,1999-03-01,21.3125,21.625,19.875,20.75,20.75,94100
11,1999-03-02,21.0,23.0,21.0,21.375,21.375,361300
12,1999-03-03,21.625,22.625,20.875,22.0,22.0,136300
13,1999-03-04,22.125,24.0,21.875,22.8125,22.8125,277400
14,1999-03-05,23.125,24.5,23.0,23.4375,23.4375,332600
15,1999-03-08,23.9375,29.75,23.625,29.0,29.0,886300
16,1999-03-09,29.625,30.75,26.5,28.0,28.0,656800
17,1999-03-10,29.0625,29.875,26.5,29.75,29.75,613900
18,1999-03-11,31.25,47.25,31.25,37.625,37.625,4188300
19,1999-03-12,42.5,60.75,41.0,57.859375,57.859375,9950900
20,1999-03-15,66.0,94.0,65.0,92.25,92.25,7038500
21,1999-03-16,96.0,98.0,65.0,68.5,68.5,9604700
22,1999-03-17,74.0,79.5625,70.0,77.625,77.625,4704300
23,1999-03-18,71.5,79.375,71.0,72.0,72.0,2160900
24,1999-03-19,72.0,74.25,63.5,66.0,66.0,2073600
25,1999-03-22,66.25,66.25,55.0,56.5,56.5,1898500
26,1999-03-23,52.375,56.0,47.0,52.5,52.5,1851100
27,1999-03-24,52.875,72.5,52.75,71.5,71.5,5182000
28,1999-03-25,77.5,79.125,64.75,67.4375,67.4375,3560300
29,1999-03-26,62.625,71.0,62.25,66.0,66.0,1047600
30,1999-03-29,67.0,70.0,63.75,64.5,64.5,755100
31,1999-03-30,64.0,64.125,60.125,60.875,60.875,622400
32,1999-03-31,61.75,65.0,60.25,63.8125,63.8125,676400
33,1999-04-01,66.0,67.25,62.625,64.5,64.5,549000
34,1999-04-05,64.75,66.0,60.25,61.5,61.5,503600
35,1999-04-06,60.75,65.25,57.0,61.0,61.0,990200
36,1999-04-07,63.375,63.5,60.0625,60.375,60.375,351900
37,1999-04-08,61.0,62.875,57.0,60.75,60.75,265900
38,1999-04-09,61.875,71.0,61.125,64.5,64.5,1639700
39,1999-04-12,64.0,69.5,63.0,64.625,64.625,606600
40,1999-04-13,68.5,73.25,66.0,68.8125,68.8125,969500
41,1999-04-14,73.75,75.5,60.9375,62.25,62.25,802400
42,1999-04-15,64.125,64.375,50.0,60.0,60.0,610000
